"Plot Title: PPW1305_9850221"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9850221, SEN S/N: 9850221)","RH, % (LGR S/N: 9850221, SEN S/N: 9850221)","Coupler Detached (LGR S/N: 9850221)","Coupler Attached (LGR S/N: 9850221)","End Of File (LGR S/N: 9850221)"
1,08/28/15 01:00:00 PM,30.520,32.875,Logged,,
2,08/28/15 01:30:00 PM,30.950,33.083,,,
3,08/28/15 02:00:00 PM,31.281,26.861,,,
4,08/28/15 02:30:00 PM,30.874,29.967,,,
5,08/28/15 03:00:00 PM,30.243,32.408,,,
6,08/28/15 03:30:00 PM,30.571,30.696,,,
7,08/28/15 04:00:00 PM,29.715,31.034,,,
8,08/28/15 04:30:00 PM,28.493,32.188,,,
9,08/28/15 05:00:00 PM,27.161,39.660,,,
10,08/28/15 05:30:00 PM,25.939,45.382,,,
11,08/28/15 06:00:00 PM,25.089,51.049,,,
12,08/28/15 06:30:00 PM,23.761,56.050,,,
13,08/28/15 07:00:00 PM,22.609,60.560,,,
14,08/28/15 07:30:00 PM,21.891,63.509,,,
15,08/28/15 08:00:00 PM,21.509,65.846,,,
16,08/28/15 08:30:00 PM,20.889,70.382,,,
17,08/28/15 09:00:00 PM,19.936,76.421,,,
18,08/28/15 09:30:00 PM,19.436,79.269,,,
19,08/28/15 10:00:00 PM,18.961,82.968,,,
20,08/28/15 10:30:00 PM,18.747,85.264,,,
21,08/28/15 11:00:00 PM,18.747,84.935,,,
22,08/28/15 11:30:00 PM,18.438,86.533,,,
23,08/29/15 12:00:00 AM,18.176,89.179,,,
24,08/29/15 12:30:00 AM,17.701,90.511,,,
25,08/29/15 01:00:00 AM,17.510,90.731,,,
26,08/29/15 01:30:00 AM,17.368,90.802,,,
27,08/29/15 02:00:00 AM,17.201,91.532,,,
28,08/29/15 02:30:00 AM,16.987,92.404,,,
29,08/29/15 03:00:00 AM,17.011,92.067,,,
30,08/29/15 03:30:00 AM,16.939,92.128,,,
31,08/29/15 04:00:00 AM,16.796,93.881,,,
32,08/29/15 04:30:00 AM,16.654,95.046,,,
33,08/29/15 05:00:00 AM,16.820,96.025,,,
34,08/29/15 05:30:00 AM,16.915,96.310,,,
35,08/29/15 06:00:00 AM,16.915,97.163,,,
36,08/29/15 06:30:00 AM,16.892,97.492,,,
37,08/29/15 07:00:00 AM,17.034,98.353,,,
38,08/29/15 07:30:00 AM,17.082,98.623,,,
39,08/29/15 08:00:00 AM,17.153,98.565,,,
40,08/29/15 08:16:25 AM,,,,Logged,Logged
