"Plot Title: PPW1306_9850244"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 9850224, SEN S/N: 9850224)","RH, % (LGR S/N: 9850224, SEN S/N: 9850224)","Coupler Detached (LGR S/N: 9850224)","Coupler Attached (LGR S/N: 9850224)","Stopped (LGR S/N: 9850224)","End Of File (LGR S/N: 9850224)"
1,03/27/14 01:30:00 PM,13.762,76.004,Logged,,,
2,03/27/14 02:00:00 PM,11.394,89.353,,,,
3,03/27/14 02:30:00 PM,11.273,88.956,,,,
4,03/27/14 03:00:00 PM,11.419,87.467,,,,
5,03/27/14 03:30:00 PM,11.175,90.185,,,,
6,03/27/14 04:00:00 PM,11.370,86.530,,,,
7,03/27/14 04:30:00 PM,11.321,87.549,,,,
8,03/27/14 05:00:00 PM,10.785,88.391,,,,
9,03/27/14 05:30:00 PM,10.638,89.661,,,,
10,03/27/14 06:00:00 PM,10.467,92.513,,,,
11,03/27/14 06:30:00 PM,9.952,93.937,,,,
12,03/27/14 07:00:00 PM,9.657,95.428,,,,
13,03/27/14 07:30:00 PM,9.509,96.469,,,,
14,03/27/14 08:00:00 PM,9.410,97.342,,,,
15,03/27/14 08:30:00 PM,9.262,98.345,,,,
16,03/27/14 09:00:00 PM,9.213,99.074,,,,
17,03/27/14 09:30:00 PM,9.188,99.658,,,,
18,03/27/14 10:00:00 PM,9.163,99.995,,,,
19,03/27/14 10:30:00 PM,9.238,100.000,,,,
20,03/27/14 11:00:00 PM,9.386,100.000,,,,
21,03/27/14 11:30:00 PM,9.534,100.000,,,,
22,03/28/14 12:00:00 AM,9.657,100.000,,,,
23,03/28/14 12:30:00 AM,9.731,100.000,,,,
24,03/28/14 01:00:00 AM,9.805,100.000,,,,
25,03/28/14 01:30:00 AM,9.805,100.000,,,,
26,03/28/14 02:00:00 AM,9.805,100.000,,,,
27,03/28/14 02:30:00 AM,9.780,100.000,,,,
28,03/28/14 03:00:00 AM,9.805,100.000,,,,
29,03/28/14 03:30:00 AM,9.756,100.000,,,,
30,03/28/14 04:00:00 AM,9.608,100.000,,,,
31,03/28/14 04:30:00 AM,9.608,100.000,,,,
32,03/28/14 05:00:00 AM,9.682,100.000,,,,
33,03/28/14 05:30:00 AM,9.706,100.000,,,,
34,03/28/14 06:00:00 AM,9.706,100.000,,,,
