"Plot Title: PPW1318_10006347"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10006347, SEN S/N: 10006347)","RH, % (LGR S/N: 10006347, SEN S/N: 10006347)","DewPt, °C (LGR S/N: 10006347, SEN S/N: 10006347)","Coupler Detached (LGR S/N: 10006347)","Coupler Attached (LGR S/N: 10006347)","Stopped (LGR S/N: 10006347)","End Of File (LGR S/N: 10006347)"
1,01/20/14 12:00:00 PM,18.913,24.358,-1.755,Logged,,,
2,01/20/14 12:30:00 PM,20.531,20.171,-3.097,,,,
3,01/20/14 01:00:00 PM,21.963,18.808,-2.930,,,,
4,01/20/14 01:30:00 PM,22.513,20.429,-1.281,,,,
5,01/20/14 02:00:00 PM,22.800,21.686,-0.174,,,,
6,01/20/14 02:30:00 PM,22.561,21.774,-0.314,,,,
7,01/20/14 03:00:00 PM,22.202,19.996,-1.848,,,,
8,01/20/14 03:30:00 PM,22.082,21.297,-1.032,,,,
9,01/20/14 04:00:00 PM,20.722,23.873,-0.518,,,,
10,01/20/14 04:30:00 PM,18.366,29.014,0.267,,,,
11,01/20/14 05:00:00 PM,14.936,33.881,-0.539,,,,
12,01/20/14 05:30:00 PM,12.534,40.344,-0.262,,,,
13,01/20/14 06:00:00 PM,10.834,45.099,-0.281,,,,
14,01/20/14 06:30:00 PM,9.706,48.161,-0.426,,,,
15,01/20/14 07:00:00 PM,9.287,49.935,-0.326,,,,
16,01/20/14 07:30:00 PM,8.841,50.086,-0.698,,,,
17,01/20/14 08:00:00 PM,8.270,52.630,-0.567,,,,
18,01/20/14 08:30:00 PM,8.095,52.785,-0.690,,,,
19,01/20/14 09:00:00 PM,7.645,54.480,-0.691,,,,
20,01/20/14 09:30:00 PM,7.217,56.459,-0.619,,,,
21,01/20/14 10:00:00 PM,6.914,58.438,-0.450,,,,
22,01/20/14 10:30:00 PM,6.661,58.778,-0.613,,,,
23,01/20/14 11:00:00 PM,6.433,59.382,-0.694,,,,
24,01/20/14 11:30:00 PM,6.357,59.892,-0.654,,,,
25,01/21/14 12:00:00 AM,6.281,60.460,-0.603,,,,
26,01/21/14 12:30:00 AM,6.204,60.331,-0.703,,,,
27,01/21/14 01:00:00 AM,5.949,61.617,-0.670,,,,
28,01/21/14 01:30:00 AM,6.000,61.367,-0.675,,,,
29,01/21/14 02:00:00 AM,6.255,60.513,-0.616,,,,
30,01/21/14 02:30:00 AM,6.535,59.165,-0.646,,,,
31,01/21/14 03:00:00 AM,6.102,59.676,-0.942,,,,
32,01/21/14 03:30:00 AM,5.949,58.342,-1.382,,,,
33,01/21/14 04:00:00 AM,5.591,56.207,-2.206,,,,
34,01/21/14 04:30:00 AM,4.818,56.761,-2.805,,,,
35,01/21/14 05:00:00 AM,5.334,52.356,-3.370,,,,
36,01/21/14 05:30:00 AM,4.792,54.438,-3.370,,,,
37,01/21/14 06:00:00 AM,4.869,56.740,-2.761,,,,
38,01/21/14 06:30:00 AM,5.128,54.960,-2.932,,,,
39,01/21/14 07:00:00 AM,5.385,52.006,-3.409,,,,
40,01/21/14 07:30:00 AM,4.973,49.345,-4.474,,,,
41,01/21/14 08:00:00 AM,4.402,56.433,-3.270,,,,
42,01/21/14 08:30:00 AM,5.693,57.776,-1.751,,,,
43,01/21/14 09:00:00 AM,8.419,48.143,-1.616,,,,
44,01/21/14 09:30:00 AM,8.965,46.439,-1.596,,,,
45,01/21/14 10:00:00 AM,11.273,41.622,-0.974,,,,
46,01/21/14 10:30:00 AM,14.936,28.800,-2.799,,,,
47,01/21/14 11:00:00 AM,15.819,26.414,-3.242,,,,
48,01/21/14 11:30:00 AM,18.366,17.573,-6.825,,,,
49,01/21/14 12:00:00 PM,19.222,16.515,-7.010,,,,
50,01/21/14 12:30:00 PM,20.889,15.838,-6.270,,,,
51,01/21/14 01:00:00 PM,22.417,14.447,-6.382,,,,
52,01/21/14 01:30:00 PM,23.136,13.216,-7.113,,,,
53,01/21/14 02:00:00 PM,23.376,12.944,-7.229,,,,
54,01/21/14 02:30:00 PM,23.593,12.036,-8.127,,,,
55,01/21/14 03:00:00 PM,23.352,12.450,-7.817,,,,
56,01/21/14 03:30:00 PM,23.809,13.703,-6.058,,,,
57,01/21/14 04:00:00 PM,22.753,14.182,-6.386,,,,
58,01/21/14 04:30:00 PM,20.293,16.363,-6.281,,,,
59,01/21/14 05:00:00 PM,16.106,23.454,-4.654,,,,
60,01/21/14 05:30:00 PM,13.594,29.676,-3.547,,,,
61,01/21/14 06:00:00 PM,11.904,32.851,-3.632,,,,
62,01/21/14 06:30:00 PM,10.980,35.275,-3.482,,,,
63,01/21/14 07:00:00 PM,10.590,36.068,-3.529,,,,
64,01/21/14 07:30:00 PM,10.173,38.314,-3.086,,,,
65,01/21/14 08:00:00 PM,9.386,40.874,-2.925,,,,
66,01/21/14 08:30:00 PM,9.312,43.330,-2.209,,,,
67,01/21/14 09:00:00 PM,8.916,45.294,-1.976,,,,
68,01/21/14 09:30:00 PM,8.891,42.938,-2.713,,,,
69,01/21/14 10:00:00 PM,8.618,45.380,-2.223,,,,
70,01/21/14 10:30:00 PM,8.394,44.736,-2.618,,,,
71,01/21/14 11:00:00 PM,8.344,42.625,-3.307,,,,
72,01/21/14 11:30:00 PM,8.195,43.816,-3.077,,,,
73,01/22/14 12:00:00 AM,7.619,45.009,-3.245,,,,
74,01/22/14 12:30:00 AM,6.914,46.574,-3.440,,,,
75,01/22/14 01:00:00 AM,6.864,46.629,-3.471,,,,
76,01/22/14 01:30:00 AM,6.611,48.086,-3.299,,,,
77,01/22/14 02:00:00 AM,6.382,47.722,-3.609,,,,
78,01/22/14 02:30:00 AM,6.611,46.077,-3.860,,,,
79,01/22/14 03:00:00 AM,5.975,48.093,-3.884,,,,
80,01/22/14 03:30:00 AM,6.077,46.832,-4.137,,,,
81,01/22/14 04:00:00 AM,6.179,46.693,-4.082,,,,
82,01/22/14 04:30:00 AM,6.026,46.216,-4.357,,,,
83,01/22/14 05:00:00 AM,5.796,45.821,-4.680,,,,
84,01/22/14 05:30:00 AM,5.872,46.714,-4.358,,,,
85,01/22/14 06:00:00 AM,5.642,47.746,-4.285,,,,
86,01/22/14 06:30:00 AM,5.847,46.132,-4.545,,,,
87,01/22/14 07:00:00 AM,5.847,45.400,-4.754,,,,
88,01/22/14 07:30:00 AM,5.385,46.195,-4.951,,,,
89,01/22/14 08:00:00 AM,5.334,47.644,-4.596,,,,
90,01/22/14 08:30:00 AM,6.281,45.913,-4.209,,,,
91,01/22/14 09:00:00 AM,8.295,44.044,-2.917,,,,
92,01/22/14 09:30:00 AM,11.856,34.686,-2.935,,,,
93,01/22/14 10:00:00 AM,15.079,24.957,-4.660,,,,
94,01/22/14 10:30:00 AM,18.889,17.360,-6.572,,,,
95,01/22/14 11:00:00 AM,20.055,15.518,-7.227,,,,
96,01/22/14 11:30:00 AM,20.365,15.950,-6.588,,,,
97,01/22/14 12:00:00 PM,21.891,14.562,-6.682,,,,
98,01/22/14 12:30:00 PM,23.857,13.177,-6.594,,,,
99,01/22/14 01:00:00 PM,24.702,11.231,-8.299,,,,
100,01/22/14 01:30:00 PM,25.453,11.509,-7.363,,,,
101,01/22/14 02:00:00 PM,24.219,15.725,-3.718,,,,
102,01/22/14 02:30:00 PM,23.521,14.849,-5.111,,,,
103,01/22/14 03:00:00 PM,23.424,14.283,-5.754,,,,
104,01/22/14 03:30:00 PM,23.328,13.646,-6.495,,,,
105,01/22/14 04:00:00 PM,22.321,15.421,-5.512,,,,
106,01/22/14 04:30:00 PM,19.912,19.310,-4.229,,,,
107,01/22/14 05:00:00 PM,16.963,24.624,-3.250,,,,
108,01/22/14 05:30:00 PM,13.882,29.963,-3.165,,,,
109,01/22/14 06:00:00 PM,12.340,32.178,-3.532,,,,
110,01/22/14 06:30:00 PM,11.880,33.690,-3.311,,,,
111,01/22/14 07:00:00 PM,11.492,34.265,-3.424,,,,
112,01/22/14 07:30:00 PM,11.175,35.743,-3.131,,,,
113,01/22/14 08:00:00 PM,10.785,37.522,-2.820,,,,
114,01/22/14 08:30:00 PM,10.369,39.252,-2.583,,,,
115,01/22/14 09:00:00 PM,9.558,41.269,-2.639,,,,
116,01/22/14 09:30:00 PM,9.064,42.710,-2.627,,,,
117,01/22/14 10:00:00 PM,9.064,43.952,-2.243,,,,
118,01/22/14 10:30:00 PM,8.990,46.780,-1.475,,,,
119,01/22/14 11:00:00 PM,8.841,48.291,-1.186,,,,
120,01/22/14 11:30:00 PM,8.295,51.220,-0.906,,,,
121,01/23/14 12:00:00 AM,8.020,51.904,-0.984,,,,
122,01/23/14 12:30:00 AM,7.419,53.165,-1.226,,,,
123,01/23/14 01:00:00 AM,6.763,55.917,-1.173,,,,
124,01/23/14 01:30:00 AM,6.611,57.042,-1.054,,,,
125,01/23/14 02:00:00 AM,6.509,57.114,-1.133,,,,
126,01/23/14 02:30:00 AM,6.102,58.862,-1.122,,,,
127,01/23/14 03:00:00 AM,6.102,58.658,-1.167,,,,
128,01/23/14 03:30:00 AM,6.864,49.573,-2.664,,,,
129,01/23/14 04:00:00 AM,6.408,47.574,-3.627,,,,
130,01/23/14 04:30:00 AM,6.179,46.875,-4.031,,,,
131,01/23/14 05:00:00 AM,6.306,45.366,-4.343,,,,
132,01/23/14 05:30:00 AM,8.693,35.495,-5.430,,,,
133,01/23/14 06:00:00 AM,7.845,37.562,-5.436,,,,
134,01/23/14 06:30:00 AM,10.149,31.268,-5.839,,,,
135,01/23/14 07:00:00 AM,13.762,23.594,-6.548,,,,
136,01/23/14 07:30:00 AM,14.337,22.023,-7.007,,,,
137,01/23/14 08:00:00 AM,14.649,21.505,-7.074,,,,
138,01/23/14 08:30:00 AM,14.266,22.086,-7.029,,,,
139,01/23/14 09:00:00 AM,16.177,20.587,-6.406,,,,
140,01/23/14 09:30:00 AM,16.582,20.612,-6.054,,,,
141,01/23/14 10:00:00 AM,17.653,19.246,-6.129,,,,
142,01/23/14 10:30:00 AM,20.722,16.038,-6.224,,,,
143,01/23/14 11:00:00 AM,21.437,15.308,-6.321,,,,
144,01/23/14 11:30:00 AM,22.753,14.007,-6.567,,,,
145,01/23/14 12:00:00 PM,23.304,13.223,-6.974,,,,
146,01/23/14 12:30:00 PM,24.002,11.982,-7.878,,,,
147,01/23/14 01:00:00 PM,25.113,11.673,-7.412,,,,
148,01/23/14 01:30:00 PM,24.750,11.375,-8.073,,,,
149,01/23/14 02:00:00 PM,23.304,12.236,-8.107,,,,
150,01/23/14 02:30:00 PM,23.232,12.304,-8.082,,,,
151,01/23/14 03:00:00 PM,23.208,12.585,-7.771,,,,
152,01/23/14 03:30:00 PM,22.800,12.391,-8.312,,,,
153,01/23/14 04:00:00 PM,21.915,13.232,-8.047,,,,
154,01/23/14 04:30:00 PM,20.936,14.307,-7.689,,,,
155,01/23/14 05:00:00 PM,19.770,15.504,-7.468,,,,
156,01/23/14 05:30:00 PM,17.748,17.401,-7.464,,,,
157,01/23/14 06:00:00 PM,16.558,18.568,-7.527,,,,
158,01/23/14 06:30:00 PM,14.481,22.100,-6.839,,,,
159,01/23/14 07:00:00 PM,11.953,26.978,-6.264,,,,
160,01/23/14 07:30:00 PM,11.102,28.322,-6.340,,,,
161,01/23/14 08:00:00 PM,11.029,34.767,-3.636,,,,
162,01/23/14 08:30:00 PM,10.001,36.677,-3.827,,,,
163,01/23/14 09:00:00 PM,9.064,39.457,-3.687,,,,
164,01/23/14 09:30:00 PM,11.029,34.381,-3.787,,,,
165,01/23/14 10:00:00 PM,11.346,35.183,-3.194,,,,
166,01/23/14 10:30:00 PM,10.001,40.315,-2.554,,,,
167,01/23/14 11:00:00 PM,10.492,38.411,-2.766,,,,
168,01/23/14 11:30:00 PM,9.015,42.766,-2.654,,,,
169,01/24/14 12:00:00 AM,11.540,36.931,-2.362,,,,
170,01/24/14 12:30:00 AM,13.666,31.777,-2.543,,,,
171,01/24/14 01:00:00 AM,14.026,30.959,-2.588,,,,
172,01/24/14 01:30:00 AM,14.553,29.625,-2.739,,,,
173,01/24/14 02:00:00 AM,14.888,28.597,-2.938,,,,
174,01/24/14 02:30:00 AM,14.122,30.246,-2.826,,,,
175,01/24/14 03:00:00 AM,14.050,29.451,-3.256,,,,
176,01/24/14 03:30:00 AM,14.002,29.513,-3.269,,,,
177,01/24/14 04:00:00 AM,14.649,28.016,-3.429,,,,
178,01/24/14 04:30:00 AM,14.816,27.334,-3.626,,,,
179,01/24/14 05:00:00 AM,15.509,26.057,-3.696,,,,
180,01/24/14 05:30:00 AM,15.414,25.850,-3.888,,,,
181,01/24/14 06:00:00 AM,15.103,26.160,-3.988,,,,
182,01/24/14 06:30:00 AM,15.175,25.698,-4.173,,,,
183,01/24/14 07:00:00 AM,15.676,24.800,-4.241,,,,
184,01/24/14 07:30:00 AM,15.247,25.637,-4.145,,,,
185,01/24/14 08:00:00 AM,14.984,26.417,-3.955,,,,
186,01/24/14 08:30:00 AM,14.984,25.951,-4.201,,,,
187,01/24/14 09:00:00 AM,16.892,24.551,-3.352,,,,
188,01/24/14 09:30:00 AM,16.820,26.957,-2.101,,,,
189,01/24/14 10:00:00 AM,15.270,35.277,0.320,,,,
190,01/24/14 10:30:00 AM,15.533,35.951,0.818,,,,
191,01/24/14 11:00:00 AM,16.796,33.991,1.145,,,,
192,01/24/14 11:30:00 AM,18.485,30.420,1.045,,,,
193,01/24/14 12:00:00 PM,19.103,29.741,1.257,,,,
194,01/24/14 12:30:00 PM,21.056,26.474,1.257,,,,
195,01/24/14 01:00:00 PM,20.507,28.317,1.762,,,,
196,01/24/14 01:30:00 PM,22.753,25.956,2.413,,,,
197,01/24/14 02:00:00 PM,23.160,14.482,-5.761,,,,
198,01/24/14 02:30:00 PM,22.417,14.237,-6.594,,,,
199,01/24/14 03:00:00 PM,22.609,14.841,-5.840,,,,
200,01/24/14 03:30:00 PM,21.366,16.696,-5.130,,,,
201,01/24/14 04:00:00 PM,21.127,17.793,-4.409,,,,
202,01/24/14 04:30:00 PM,19.341,20.578,-3.794,,,,
203,01/24/14 05:00:00 PM,17.486,24.122,-3.097,,,,
204,01/24/14 05:30:00 PM,15.796,27.144,-2.882,,,,
205,01/24/14 06:00:00 PM,14.481,29.882,-2.681,,,,
206,01/24/14 06:30:00 PM,12.727,34.158,-2.375,,,,
207,01/24/14 07:00:00 PM,11.662,37.071,-2.202,,,,
208,01/24/14 07:30:00 PM,10.736,40.050,-1.981,,,,
209,01/24/14 08:00:00 PM,9.731,44.467,-1.479,,,,
210,01/24/14 08:30:00 PM,9.534,46.081,-1.179,,,,
211,01/24/14 09:00:00 PM,8.668,48.085,-1.404,,,,
212,01/24/14 09:30:00 PM,8.295,49.981,-1.232,,,,
213,01/24/14 10:00:00 PM,8.145,52.672,-0.672,,,,
214,01/24/14 10:30:00 PM,7.920,54.075,-0.533,,,,
215,01/24/14 11:00:00 PM,7.469,55.197,-0.682,,,,
216,01/24/14 11:30:00 PM,7.469,56.616,-0.346,,,,
217,01/25/14 12:00:00 AM,7.015,64.042,0.849,,,,
218,01/25/14 12:30:00 AM,6.864,68.246,1.537,,,,
219,01/25/14 01:00:00 AM,6.560,70.624,1.691,,,,
220,01/25/14 01:30:00 AM,6.560,72.539,2.039,,,,
221,01/25/14 02:00:00 AM,7.343,73.304,2.933,,,,
222,01/25/14 02:30:00 AM,8.045,72.419,3.454,,,,
223,01/25/14 03:00:00 AM,8.717,73.970,4.384,,,,
224,01/25/14 03:30:00 AM,9.040,73.647,4.638,,,,
225,01/25/14 04:00:00 AM,9.188,71.501,4.390,,,,
226,01/25/14 04:30:00 AM,8.916,72.119,4.241,,,,
227,01/25/14 05:00:00 AM,8.344,71.978,3.663,,,,
228,01/25/14 05:30:00 AM,8.095,71.733,3.377,,,,
229,01/25/14 06:00:00 AM,8.070,72.424,3.479,,,,
230,01/25/14 06:30:00 AM,8.668,72.571,4.084,,,,
231,01/25/14 07:00:00 AM,9.089,68.239,3.673,,,,
232,01/25/14 07:30:00 AM,8.817,68.556,3.473,,,,
233,01/25/14 08:00:00 AM,8.519,69.573,3.382,,,,
234,01/25/14 08:30:00 AM,8.643,66.877,2.977,,,,
235,01/25/14 09:00:00 AM,10.687,56.341,2.610,,,,
236,01/25/14 09:30:00 AM,13.329,50.303,3.513,,,,
237,01/25/14 10:00:00 AM,15.127,45.881,3.879,,,,
238,01/25/14 10:30:00 AM,17.938,34.982,2.560,,,,
239,01/25/14 11:00:00 AM,19.080,27.534,0.134,,,,
240,01/25/14 11:30:00 AM,19.912,23.885,-1.192,,,,
241,01/25/14 12:00:00 PM,21.270,23.639,-0.199,,,,
242,01/25/14 12:30:00 PM,22.848,20.311,-1.089,,,,
243,01/25/14 01:00:00 PM,24.581,16.584,-2.648,,,,
244,01/25/14 01:30:00 PM,25.355,14.514,-3.999,,,,
245,01/25/14 02:00:00 PM,25.040,14.288,-4.479,,,,
246,01/25/14 02:30:00 PM,24.677,15.045,-4.004,,,,
247,01/25/14 03:00:00 PM,24.243,16.637,-2.873,,,,
248,01/25/14 03:30:00 PM,24.388,17.483,-2.028,,,,
249,01/25/14 04:00:00 PM,23.304,19.162,-1.564,,,,
250,01/25/14 04:30:00 PM,21.509,20.712,-1.910,,,,
251,01/25/14 05:00:00 PM,20.103,28.988,1.752,,,,
252,01/25/14 05:30:00 PM,18.081,35.780,3.009,,,,
253,01/25/14 06:00:00 PM,15.557,39.689,2.229,,,,
