"Plot Title: PPW1319_10006348"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10006348, SEN S/N: 10006348)","RH, % (LGR S/N: 10006348, SEN S/N: 10006348)","Coupler Detached (LGR S/N: 10006348)","Coupler Attached (LGR S/N: 10006348)","Stopped (LGR S/N: 10006348)","End Of File (LGR S/N: 10006348)"
1,09/18/17 12:00:00 PM,24.388,55.205,Logged,,,
2,09/18/17 12:30:00 PM,23.857,53.218,,,,
3,09/18/17 01:00:00 PM,24.968,51.191,,,,
4,09/18/17 01:30:00 PM,24.726,50.778,,,,
5,09/18/17 02:00:00 PM,24.798,48.717,,,,
6,09/18/17 02:30:00 PM,26.818,43.043,,,,
7,09/18/17 03:00:00 PM,24.291,50.688,,,,
8,09/18/17 03:30:00 PM,23.521,49.951,,,,
9,09/18/17 04:00:00 PM,22.848,50.717,,,,
10,09/18/17 04:30:00 PM,21.652,53.034,,,,
11,09/18/17 05:00:00 PM,20.507,53.464,,,,
12,09/18/17 05:30:00 PM,19.270,55.757,,,,
13,09/18/17 06:00:00 PM,17.891,58.235,,,,
14,09/18/17 06:30:00 PM,16.606,64.048,,,,
15,09/18/17 07:00:00 PM,16.058,66.483,,,,
16,09/18/17 07:30:00 PM,15.629,66.991,,,,
17,09/18/17 08:00:00 PM,15.175,65.448,,,,
18,09/18/17 08:30:00 PM,14.840,64.657,,,,
19,09/18/17 09:00:00 PM,14.577,64.640,,,,
20,09/18/17 09:30:00 PM,14.218,67.376,,,,
21,09/18/17 10:00:00 PM,13.690,72.468,,,,
22,09/18/17 10:30:00 PM,13.425,75.823,,,,
23,09/18/17 11:00:00 PM,12.944,77.338,,,,
24,09/18/17 11:30:00 PM,13.016,77.520,,,,
25,09/19/17 12:00:00 AM,12.437,79.657,,,,
26,09/19/17 12:30:00 AM,11.248,82.816,,,,
27,09/19/17 01:00:00 AM,10.418,86.330,,,,
28,09/19/17 01:30:00 AM,9.952,88.371,,,,
29,09/19/17 02:00:00 AM,10.541,90.753,,,,
30,09/19/17 02:30:00 AM,11.929,84.985,,,,
31,09/19/17 03:00:00 AM,10.222,88.802,,,,
32,09/19/17 03:30:00 AM,9.460,91.741,,,,
33,09/19/17 04:00:00 AM,9.213,91.831,,,,
34,09/19/17 04:30:00 AM,9.238,92.758,,,,
35,09/19/17 05:00:00 AM,8.618,93.105,,,,
36,09/19/17 05:30:00 AM,8.369,93.800,,,,
37,09/19/17 06:00:00 AM,8.120,95.193,,,,
38,09/19/17 06:30:00 AM,8.295,95.164,,,,
39,09/19/17 07:00:00 AM,9.336,94.813,,,,
40,09/19/17 07:30:00 AM,11.565,88.608,,,,
41,09/19/17 08:00:00 AM,13.209,78.557,,,,
42,09/19/17 08:30:00 AM,14.218,73.790,,,,
43,09/19/17 09:00:00 AM,15.581,67.070,,,,
44,09/19/17 09:30:00 AM,16.749,64.398,,,,
45,09/19/17 10:00:00 AM,18.485,59.661,,,,
46,09/19/17 10:30:00 AM,20.007,49.708,,,,
47,09/19/17 11:00:00 AM,21.103,46.528,,,,
48,09/19/17 11:30:00 AM,22.369,42.084,,,,
49,09/19/17 12:00:00 PM,23.256,39.216,,,,
50,09/19/17 12:30:00 PM,23.352,38.308,,,,
51,09/19/17 01:00:00 PM,22.992,39.025,,,,
52,09/19/17 01:30:00 PM,23.472,39.042,,,,
53,09/19/17 02:00:00 PM,24.436,36.138,,,,
54,09/19/17 02:30:00 PM,24.895,35.851,,,,
55,09/19/17 03:00:00 PM,23.857,37.239,,,,
56,09/19/17 03:30:00 PM,23.809,37.993,,,,
57,09/19/17 04:00:00 PM,23.280,39.808,,,,
58,09/19/17 04:30:00 PM,22.848,41.099,,,,
59,09/19/17 05:00:00 PM,22.657,41.500,,,,
60,09/19/17 05:30:00 PM,21.246,45.588,,,,
61,09/19/17 06:00:00 PM,19.841,50.940,,,,
62,09/19/17 06:30:00 PM,18.747,54.604,,,,
63,09/19/17 07:00:00 PM,17.938,57.330,,,,
64,09/19/17 07:30:00 PM,17.153,60.142,,,,
65,09/19/17 08:00:00 PM,16.249,63.454,,,,
66,09/19/17 08:30:00 PM,16.511,63.350,,,,
67,09/19/17 09:00:00 PM,16.082,65.108,,,,
68,09/19/17 09:30:00 PM,15.509,67.988,,,,
69,09/19/17 10:00:00 PM,15.175,69.288,,,,
70,09/19/17 10:30:00 PM,14.385,72.320,,,,
71,09/19/17 11:00:00 PM,13.112,76.261,,,,
72,09/19/17 11:30:00 PM,12.654,77.665,,,,
73,09/20/17 12:00:00 AM,12.437,77.342,,,,
74,09/20/17 12:30:00 AM,11.953,78.316,,,,
75,09/20/17 01:00:00 AM,11.783,78.418,,,,
76,09/20/17 01:30:00 AM,11.904,77.617,,,,
77,09/20/17 02:00:00 AM,11.565,79.248,,,,
78,09/20/17 02:30:00 AM,11.904,79.322,,,,
79,09/20/17 03:00:00 AM,13.161,76.661,,,,
80,09/20/17 03:30:00 AM,14.218,75.397,,,,
81,09/20/17 04:00:00 AM,14.577,75.189,,,,
82,09/20/17 04:30:00 AM,14.649,76.075,,,,
83,09/20/17 05:00:00 AM,14.553,81.712,,,,
84,09/20/17 05:30:00 AM,14.505,84.425,,,,
85,09/20/17 06:00:00 AM,14.745,84.589,,,,
86,09/20/17 06:30:00 AM,15.055,83.137,,,,
87,09/20/17 07:00:00 AM,15.461,81.556,,,,
88,09/20/17 07:30:00 AM,16.368,79.455,,,,
89,09/20/17 08:00:00 AM,16.320,84.489,,,,
90,09/20/17 08:30:00 AM,17.249,81.120,,,,
91,09/20/17 09:00:00 AM,18.081,78.363,,,,
92,09/20/17 09:30:00 AM,18.366,79.632,,,,
