"Plot Title: PPW1328_10008101"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10008101, SEN S/N: 10008101)","RH, % (LGR S/N: 10008101, SEN S/N: 10008101)","Coupler Detached (LGR S/N: 10008101)","Bad Battery (LGR S/N: 10008101)","Good Battery (LGR S/N: 10008101)","End Of File (LGR S/N: 10008101)"
1,01/27/15 06:59:41 AM,17.867,50.548,Logged,,,
2,01/27/15 07:29:41 AM,13.978,63.068,,,,
3,01/27/15 07:59:41 AM,12.582,71.571,,,,
4,01/27/15 08:29:41 AM,12.437,74.586,,,,
5,01/27/15 08:59:41 AM,12.606,76.267,,,,
6,01/27/15 09:29:41 AM,13.546,76.797,,,,
7,01/27/15 09:59:41 AM,14.361,75.735,,,,
8,01/27/15 10:29:41 AM,15.700,74.086,,,,
9,01/27/15 10:59:41 AM,12.171,90.773,,,,
10,01/27/15 11:29:41 AM,12.678,93.134,,,,
11,01/27/15 11:59:41 AM,13.786,89.522,,,,
12,01/27/15 12:29:41 PM,14.816,79.317,,,,
13,01/27/15 12:59:41 PM,15.414,75.161,,,,
14,01/27/15 01:29:41 PM,15.414,73.517,,,,
15,01/27/15 01:59:41 PM,15.461,73.555,,,,
16,01/27/15 02:29:41 PM,15.557,73.147,,,,
17,01/27/15 02:59:41 PM,15.318,77.446,,,,
18,01/27/15 03:29:41 PM,14.960,77.595,,,,
19,01/27/15 03:59:41 PM,14.577,83.927,,,,
20,01/27/15 04:29:41 PM,14.290,86.289,,,,
21,01/27/15 04:59:41 PM,13.834,87.971,,,,
22,01/27/15 05:29:41 PM,12.992,88.244,,,,
23,01/27/15 05:59:41 PM,12.050,90.038,,,,
24,01/27/15 06:29:41 PM,11.516,91.595,,,,
25,01/27/15 06:59:41 PM,11.370,92.488,,,,
26,01/27/15 07:29:41 PM,11.200,92.984,,,,
27,01/27/15 07:59:41 PM,11.005,93.370,,,,
28,01/27/15 08:29:41 PM,10.907,93.932,,,,
29,01/27/15 08:59:41 PM,10.736,94.117,,,,
30,01/27/15 09:29:41 PM,10.541,94.524,,,,
31,01/27/15 09:59:41 PM,10.369,94.809,,,,
32,01/27/15 10:29:41 PM,10.001,95.040,,,,
33,01/27/15 10:59:41 PM,9.608,95.390,,,,
34,01/27/15 11:29:41 PM,9.064,95.797,,,,
35,01/27/15 11:59:41 PM,8.568,96.064,,,,
36,01/28/15 12:29:41 AM,8.220,96.469,,,,
37,01/28/15 12:59:41 AM,8.020,97.061,,,,
38,01/28/15 01:29:41 AM,8.070,97.595,,,,
39,01/28/15 01:59:41 AM,8.120,97.781,,,,
40,01/28/15 02:29:41 AM,8.469,98.125,,,,
41,01/28/15 02:59:41 AM,8.319,97.787,,,,
42,01/28/15 03:29:41 AM,8.519,98.090,,,,
43,01/28/15 03:59:41 AM,8.618,98.266,,,,
44,01/28/15 04:29:41 AM,8.717,97.847,,,,
45,01/28/15 04:59:41 AM,8.319,98.133,,,,
46,01/28/15 05:29:41 AM,8.668,98.823,,,,
47,01/28/15 05:59:41 AM,8.120,97.534,,,,
48,01/28/15 06:29:41 AM,8.070,98.606,,,,
49,01/28/15 06:59:41 AM,8.469,99.161,,,,
50,01/28/15 07:29:41 AM,8.469,98.718,,,,
51,01/28/15 07:59:41 AM,8.444,98.760,,,,
52,01/28/15 08:29:41 AM,8.270,98.761,,,,
53,01/28/15 08:59:41 AM,8.220,98.722,,,,
54,01/28/15 09:29:41 AM,8.469,99.456,,,,
55,01/28/15 09:59:41 AM,9.460,98.697,,,,
56,01/28/15 10:29:41 AM,10.980,90.215,,,,
57,01/28/15 10:59:41 AM,12.823,83.391,,,,
58,01/28/15 11:29:41 AM,14.721,72.186,,,,
59,01/28/15 11:59:41 AM,15.247,72.374,,,,
60,01/28/15 12:29:41 PM,16.820,66.149,,,,
61,01/28/15 12:59:41 PM,17.296,67.467,,,,
62,01/28/15 01:29:41 PM,18.200,63.994,,,,
63,01/28/15 01:59:41 PM,18.271,64.868,,,,
64,01/28/15 02:29:41 PM,18.509,63.927,,,,
65,01/28/15 02:59:41 PM,18.390,64.056,,,,
66,01/28/15 03:29:41 PM,18.081,72.350,,,,
67,01/28/15 03:59:41 PM,17.463,73.866,,,,
68,01/28/15 04:29:41 PM,16.320,78.021,,,,
69,01/28/15 04:59:41 PM,14.912,83.895,,,,
70,01/28/15 05:29:41 PM,13.497,85.056,,,,
71,01/28/15 05:59:41 PM,12.268,86.904,,,,
72,01/28/15 06:29:41 PM,11.370,88.246,,,,
73,01/28/15 06:59:41 PM,10.590,89.493,,,,
74,01/28/15 07:29:41 PM,10.100,90.046,,,,
75,01/28/15 07:59:41 PM,9.756,91.045,,,,
76,01/28/15 08:29:41 PM,9.435,91.888,,,,
77,01/28/15 08:59:41 PM,9.114,92.496,,,,
78,01/28/15 09:29:41 PM,8.866,93.829,,,,
79,01/28/15 09:59:41 PM,8.668,94.383,,,,
80,01/28/15 10:29:41 PM,8.469,94.582,,,,
81,01/28/15 10:59:41 PM,8.270,95.608,,,,
82,01/28/15 11:29:41 PM,7.870,95.276,,,,
83,01/28/15 11:59:41 PM,7.795,95.855,,,,
84,01/29/15 12:29:41 AM,7.519,95.880,,,,
85,01/29/15 12:59:41 AM,7.544,96.136,,,,
86,01/29/15 01:29:41 AM,7.242,96.153,,,,
87,01/29/15 01:59:41 AM,6.864,95.976,,,,
88,01/29/15 02:29:41 AM,6.813,96.853,,,,
89,01/29/15 02:59:41 AM,6.990,96.852,,,,
90,01/29/15 03:29:41 AM,6.889,96.404,,,,
91,01/29/15 03:59:41 AM,6.611,96.328,,,,
92,01/29/15 04:29:41 AM,6.560,96.562,,,,
93,01/29/15 04:59:41 AM,6.306,96.294,,,,
94,01/29/15 05:29:41 AM,6.357,97.098,,,,
95,01/29/15 05:59:41 AM,6.408,97.062,,,,
96,01/29/15 06:29:41 AM,6.408,96.915,,,,
97,01/29/15 06:59:41 AM,6.408,96.717,,,,
98,01/29/15 07:29:41 AM,6.357,96.111,,,,
99,01/29/15 07:59:41 AM,6.077,95.043,,,,
100,01/29/15 08:29:41 AM,5.745,96.486,,,,
101,01/29/15 08:59:41 AM,6.331,97.827,,,,
102,01/29/15 09:29:41 AM,7.569,98.467,,,,
103,01/29/15 09:59:41 AM,9.114,91.806,,,,
104,01/29/15 10:29:41 AM,10.932,82.313,,,,
