"Plot Title:  PPW_1328_2_10589256"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10589256, SEN S/N: 10589256)","RH, % (LGR S/N: 10589256, SEN S/N: 10589256)","Coupler Detached (LGR S/N: 10589256)","Coupler Attached (LGR S/N: 10589256)","Stopped (LGR S/N: 10589256)","End Of File (LGR S/N: 10589256)"
1,11/17/16 05:30:00 PM,10.932,74.893,Logged,,,
2,11/17/16 06:00:00 PM,9.040,78.429,,,,
3,11/17/16 06:30:00 PM,7.845,81.722,,,,
4,11/17/16 07:00:00 PM,7.116,83.096,,,,
5,11/17/16 07:30:00 PM,6.535,84.959,,,,
6,11/17/16 08:00:00 PM,6.281,87.083,,,,
7,11/17/16 08:30:00 PM,5.975,89.142,,,,
8,11/17/16 09:00:00 PM,5.719,90.809,,,,
9,11/17/16 09:30:00 PM,5.488,91.281,,,,
10,11/17/16 10:00:00 PM,5.179,92.107,,,,
11,11/17/16 10:30:00 PM,5.076,92.907,,,,
12,11/17/16 11:00:00 PM,4.844,93.818,,,,
13,11/17/16 11:30:00 PM,4.792,94.301,,,,
14,11/18/16 12:00:00 AM,4.818,94.951,,,,
15,11/18/16 12:30:00 AM,4.480,93.969,,,,
16,11/18/16 01:00:00 AM,3.985,95.071,,,,
17,11/18/16 01:30:00 AM,4.063,95.878,,,,
18,11/18/16 02:00:00 AM,3.827,95.764,,,,
19,11/18/16 02:30:00 AM,3.538,96.223,,,,
20,11/18/16 03:00:00 AM,3.749,96.622,,,,
21,11/18/16 03:30:00 AM,4.089,96.423,,,,
22,11/18/16 04:00:00 AM,4.246,95.781,,,,
23,11/18/16 04:30:00 AM,4.350,95.121,,,,
24,11/18/16 05:00:00 AM,4.089,95.050,,,,
25,11/18/16 05:30:00 AM,4.246,95.142,,,,
26,11/18/16 06:00:00 AM,4.141,95.187,,,,
27,11/18/16 06:30:00 AM,4.168,94.479,,,,
28,11/18/16 07:00:00 AM,4.115,93.401,,,,
29,11/18/16 07:30:00 AM,4.194,93.595,,,,
30,11/18/16 08:00:00 AM,4.324,94.126,,,,
31,11/18/16 08:30:00 AM,4.220,92.332,,,,
32,11/18/16 09:00:00 AM,4.610,92.059,,,,
33,11/18/16 09:30:00 AM,5.488,87.456,,,,
34,11/18/16 10:00:00 AM,9.139,73.861,,,,
35,11/18/16 10:30:00 AM,10.369,68.021,,,,
36,11/18/16 11:00:00 AM,12.001,62.674,,,,
37,11/18/16 11:30:00 AM,12.847,55.620,,,,
38,11/18/16 12:00:00 PM,13.497,56.982,,,,
39,11/18/16 12:30:00 PM,14.218,53.244,,,,
40,11/18/16 01:00:00 PM,14.816,50.197,,,,
