"Plot Title:  PPW_1328_2_10589256"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10589256, SEN S/N: 10589256)","RH, % (LGR S/N: 10589256, SEN S/N: 10589256)","Coupler Detached (LGR S/N: 10589256)","Coupler Attached (LGR S/N: 10589256)","Stopped (LGR S/N: 10589256)","End Of File (LGR S/N: 10589256)"
1,05/04/17 04:30:00 PM,21.270,62.016,Logged,,,
2,05/04/17 05:00:00 PM,20.031,64.694,,,,
3,05/04/17 05:30:00 PM,18.580,67.463,,,,
4,05/04/17 06:00:00 PM,17.320,71.713,,,,
5,05/04/17 06:30:00 PM,16.987,71.736,,,,
6,05/04/17 07:00:00 PM,16.249,72.941,,,,
7,05/04/17 07:30:00 PM,14.697,77.372,,,,
8,05/04/17 08:00:00 PM,12.147,84.956,,,,
9,05/04/17 08:30:00 PM,11.273,88.301,,,,
10,05/04/17 09:00:00 PM,11.102,88.626,,,,
11,05/04/17 09:30:00 PM,10.932,89.526,,,,
12,05/04/17 10:00:00 PM,10.736,91.242,,,,
13,05/04/17 10:30:00 PM,10.712,92.139,,,,
14,05/04/17 11:00:00 PM,10.565,93.383,,,,
15,05/04/17 11:30:00 PM,10.443,94.396,,,,
16,05/05/17 12:00:00 AM,10.492,94.917,,,,
17,05/05/17 12:30:00 AM,10.687,94.563,,,,
18,05/05/17 01:00:00 AM,10.785,94.538,,,,
19,05/05/17 01:30:00 AM,10.834,94.194,,,,
20,05/05/17 02:00:00 AM,10.736,94.906,,,,
21,05/05/17 02:30:00 AM,10.590,95.753,,,,
22,05/05/17 03:00:00 AM,10.736,95.084,,,,
23,05/05/17 03:30:00 AM,10.614,94.848,,,,
24,05/05/17 04:00:00 AM,10.638,94.753,,,,
25,05/05/17 04:30:00 AM,10.663,94.760,,,,
26,05/05/17 05:00:00 AM,10.638,94.855,,,,
27,05/05/17 05:30:00 AM,10.638,95.412,,,,
28,05/05/17 06:00:00 AM,10.785,95.198,,,,
29,05/05/17 06:30:00 AM,10.858,94.633,,,,
30,05/05/17 07:00:00 AM,10.883,93.977,,,,
31,05/05/17 07:30:00 AM,10.810,93.626,,,,
32,05/05/17 08:00:00 AM,11.029,93.197,,,,
33,05/05/17 08:30:00 AM,11.686,89.974,,,,
34,05/05/17 09:00:00 AM,12.050,89.305,,,,
35,05/05/17 09:30:00 AM,13.112,83.754,,,,
36,05/05/17 10:00:00 AM,14.553,75.915,,,,
37,05/05/17 10:30:00 AM,15.581,72.667,,,,
38,05/05/17 11:00:00 AM,17.082,66.695,,,,
39,05/05/17 11:30:00 AM,17.891,62.211,,,,
40,05/05/17 12:00:00 PM,18.913,60.183,,,,
41,05/05/17 12:30:00 PM,19.413,62.043,,,,
42,05/05/17 01:00:00 PM,19.770,58.770,,,,
43,05/05/17 01:30:00 PM,19.912,60.009,,,,
44,05/05/17 02:00:00 PM,19.936,59.891,,,,
45,05/05/17 02:30:00 PM,20.031,57.712,,,,
46,05/05/17 03:00:00 PM,19.246,58.506,,,,
47,05/05/17 03:30:00 PM,18.271,59.476,,,,
48,05/05/17 04:00:00 PM,17.938,61.650,,,,
49,05/05/17 04:30:00 PM,18.390,60.973,,,,
50,05/05/17 05:00:00 PM,17.724,60.203,,,,
51,05/05/17 05:30:00 PM,17.296,62.352,,,,
52,05/05/17 06:00:00 PM,16.249,65.166,,,,
53,05/05/17 06:30:00 PM,15.127,68.846,,,,
54,05/05/17 07:00:00 PM,14.697,65.949,,,,
55,05/05/17 07:30:00 PM,13.978,68.921,,,,
56,05/05/17 08:00:00 PM,13.353,68.056,,,,
57,05/05/17 08:30:00 PM,12.654,68.703,,,,
58,05/05/17 09:00:00 PM,11.783,70.480,,,,
59,05/05/17 09:30:00 PM,11.273,71.712,,,,
60,05/05/17 10:00:00 PM,10.590,71.578,,,,
61,05/05/17 10:30:00 PM,10.149,71.098,,,,
62,05/05/17 11:00:00 PM,9.854,70.449,,,,
63,05/05/17 11:30:00 PM,9.312,72.225,,,,
64,05/06/17 12:00:00 AM,9.287,72.388,,,,
65,05/06/17 12:30:00 AM,9.460,69.753,,,,
66,05/06/17 01:00:00 AM,9.386,70.190,,,,
67,05/06/17 01:30:00 AM,9.312,67.455,,,,
68,05/06/17 02:00:00 AM,9.312,67.455,,,,
69,05/06/17 02:30:00 AM,9.064,66.383,,,,
70,05/06/17 03:00:00 AM,8.891,67.122,,,,
71,05/06/17 03:30:00 AM,8.693,68.136,,,,
72,05/06/17 04:00:00 AM,8.494,69.399,,,,
