"Plot Title:  PPW_1328_2_10589256"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10589256, SEN S/N: 10589256)","RH, % (LGR S/N: 10589256, SEN S/N: 10589256)","Coupler Detached (LGR S/N: 10589256)","Coupler Attached (LGR S/N: 10589256)","Stopped (LGR S/N: 10589256)","End Of File (LGR S/N: 10589256)"
1,11/21/17 03:30:00 PM,17.701,95.319,Logged,,,
2,11/21/17 04:00:00 PM,17.819,95.976,,,,
3,11/21/17 04:30:00 PM,16.939,96.834,,,,
4,11/21/17 05:00:00 PM,16.320,98.467,,,,
5,11/21/17 05:30:00 PM,15.843,99.154,,,,
6,11/21/17 06:00:00 PM,15.103,99.407,,,,
7,11/21/17 06:30:00 PM,14.433,99.677,,,,
8,11/21/17 07:00:00 PM,14.026,100.000,,,,
9,11/21/17 07:30:00 PM,13.690,100.000,,,,
10,11/21/17 08:00:00 PM,13.353,100.000,,,,
11,11/21/17 08:30:00 PM,13.112,100.000,,,,
12,11/21/17 09:00:00 PM,12.920,100.000,,,,
13,11/21/17 09:30:00 PM,12.654,100.000,,,,
14,11/21/17 10:00:00 PM,12.364,100.000,,,,
15,11/21/17 10:30:00 PM,12.268,100.000,,,,
16,11/21/17 11:00:00 PM,12.147,100.000,,,,
17,11/21/17 11:30:00 PM,12.001,100.000,,,,
18,11/22/17 12:00:00 AM,11.759,100.000,,,,
19,11/22/17 12:30:00 AM,11.297,100.000,,,,
20,11/22/17 01:00:00 AM,11.297,100.000,,,,
21,11/22/17 01:30:00 AM,10.907,100.000,,,,
22,11/22/17 02:00:00 AM,10.980,100.000,,,,
23,11/22/17 02:30:00 AM,10.907,100.000,,,,
24,11/22/17 03:00:00 AM,10.858,100.000,,,,
25,11/22/17 03:30:00 AM,10.100,100.000,,,,
26,11/22/17 04:00:00 AM,9.706,100.000,,,,
27,11/22/17 04:30:00 AM,9.485,100.000,,,,
28,11/22/17 05:00:00 AM,9.632,100.000,,,,
29,11/22/17 05:30:00 AM,9.509,100.000,,,,
30,11/22/17 06:00:00 AM,9.583,100.000,,,,
31,11/22/17 06:30:00 AM,9.114,100.000,,,,
32,11/22/17 07:00:00 AM,9.534,100.000,,,,
33,11/22/17 07:30:00 AM,9.213,100.000,,,,
34,11/22/17 08:00:00 AM,8.742,100.000,,,,
35,11/22/17 08:30:00 AM,9.163,100.000,,,,
36,11/22/17 09:00:00 AM,9.238,100.000,,,,
37,11/22/17 09:30:00 AM,9.435,100.000,,,,
38,11/22/17 10:00:00 AM,9.805,100.000,,,,
39,11/22/17 10:30:00 AM,10.271,100.000,,,,
40,11/22/17 11:00:00 AM,11.175,100.000,,,,
41,11/22/17 11:30:00 AM,12.364,100.000,,,,
42,11/22/17 12:00:00 PM,13.353,100.000,,,,
43,11/22/17 12:30:00 PM,14.409,100.000,,,,
44,11/22/17 01:00:00 PM,14.601,100.000,,,,
45,11/22/17 01:30:00 PM,14.625,99.326,,,,
46,11/22/17 02:00:00 PM,15.079,99.147,,,,
47,11/22/17 02:30:00 PM,15.581,97.960,,,,
48,11/22/17 03:00:00 PM,16.153,97.243,,,,
49,11/22/17 03:30:00 PM,16.487,96.196,,,,
50,11/22/17 04:00:00 PM,16.511,96.125,,,,
51,11/22/17 04:30:00 PM,16.558,96.861,,,,
52,11/22/17 05:00:00 PM,16.058,98.038,,,,
53,11/22/17 05:30:00 PM,15.533,98.611,,,,
54,11/22/17 06:00:00 PM,14.697,98.535,,,,
55,11/22/17 06:30:00 PM,14.002,99.003,,,,
56,11/22/17 07:00:00 PM,13.473,99.236,,,,
57,11/22/17 07:30:00 PM,13.064,99.599,,,,
58,11/22/17 08:00:00 PM,12.775,99.919,,,,
59,11/22/17 08:30:00 PM,12.582,100.000,,,,
60,11/22/17 09:00:00 PM,12.437,100.000,,,,
61,11/22/17 09:30:00 PM,12.243,100.000,,,,
62,11/22/17 10:00:00 PM,11.953,100.000,,,,
63,11/22/17 10:30:00 PM,12.001,100.000,,,,
64,11/22/17 11:00:00 PM,11.710,100.000,,,,
65,11/22/17 11:30:00 PM,11.370,100.000,,,,
66,11/23/17 12:00:00 AM,11.565,100.000,,,,
67,11/23/17 12:30:00 AM,11.492,100.000,,,,
68,11/23/17 01:00:00 AM,11.419,100.000,,,,
