"Plot Title: PPW1339_10008133"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10008133, SEN S/N: 10008133)","RH, % (LGR S/N: 10008133, SEN S/N: 10008133)","Coupler Detached (LGR S/N: 10008133)","Coupler Attached (LGR S/N: 10008133)","Stopped (LGR S/N: 10008133)","End Of File (LGR S/N: 10008133)"
1,09/08/15 01:30:00 PM,35.448,13.831,Logged,,,
2,09/08/15 02:00:00 PM,35.582,12.967,,,,
3,09/08/15 02:30:00 PM,36.552,11.042,,,,
4,09/08/15 03:00:00 PM,36.525,10.675,,,,
5,09/08/15 03:30:00 PM,37.590,9.101,,,,
6,09/08/15 04:00:00 PM,38.254,9.123,,,,
7,09/08/15 04:30:00 PM,37.453,10.564,,,,
8,09/08/15 05:00:00 PM,36.173,11.100,,,,
9,09/08/15 05:30:00 PM,35.582,12.242,,,,
10,09/08/15 06:00:00 PM,33.157,13.945,,,,
11,09/08/15 06:30:00 PM,31.663,14.273,,,,
12,09/08/15 07:00:00 PM,30.217,16.023,,,,
13,09/08/15 07:30:00 PM,28.196,17.758,,,,
14,09/08/15 08:00:00 PM,25.623,20.061,,,,
15,09/08/15 08:30:00 PM,25.258,21.012,,,,
16,09/08/15 09:00:00 PM,24.871,21.956,,,,
17,09/08/15 09:30:00 PM,24.412,22.685,,,,
18,09/08/15 10:00:00 PM,24.267,22.985,,,,
19,09/08/15 10:30:00 PM,23.978,23.344,,,,
20,09/08/15 11:00:00 PM,23.761,23.604,,,,
21,09/08/15 11:30:00 PM,23.569,23.590,,,,
22,09/09/15 12:00:00 AM,23.472,23.652,,,,
23,09/09/15 12:30:00 AM,23.737,23.190,,,,
24,09/09/15 01:00:00 AM,23.424,23.272,,,,
25,09/09/15 01:30:00 AM,22.800,24.154,,,,
26,09/09/15 02:00:00 AM,22.417,25.217,,,,
27,09/09/15 02:30:00 AM,21.843,25.923,,,,
28,09/09/15 03:00:00 AM,21.795,25.852,,,,
29,09/09/15 03:30:00 AM,22.178,25.268,,,,
30,09/09/15 04:00:00 AM,21.819,25.650,,,,
31,09/09/15 04:30:00 AM,21.795,25.784,,,,
32,09/09/15 05:00:00 AM,21.604,26.075,,,,
33,09/09/15 05:30:00 AM,21.724,25.982,,,,
