"Plot Title: PPW1346_10008156"
"#30 Days","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10008156, SEN S/N: 10008156)","RH, % (LGR S/N: 10008156, SEN S/N: 10008156)","Coupler Detached (LGR S/N: 10008156)","Coupler Attached (LGR S/N: 10008156)","Stopped (LGR S/N: 10008156)","End Of File (LGR S/N: 10008156)"
1,01/11/14 11:30:00 AM,6.484,64.349,Logged,,,
2,01/11/14 12:00:00 PM,6.382,64.074,,,,
3,01/11/14 12:30:00 PM,8.270,56.356,,,,
4,01/11/14 01:00:00 PM,8.295,56.774,,,,
5,01/11/14 01:30:00 PM,9.460,57.281,,,,
6,01/11/14 02:00:00 PM,10.100,58.329,,,,
7,01/11/14 02:30:00 PM,10.761,56.711,,,,
8,01/11/14 03:00:00 PM,11.734,49.596,,,,
9,01/11/14 03:30:00 PM,11.370,45.910,,,,
10,01/11/14 04:00:00 PM,10.736,49.338,,,,
11,01/11/14 04:30:00 PM,10.590,48.798,,,,
12,01/11/14 05:00:00 PM,9.509,53.290,,,,
13,01/11/14 05:30:00 PM,7.720,59.504,,,,
14,01/11/14 06:00:00 PM,6.382,63.587,,,,
15,01/11/14 06:30:00 PM,5.872,65.208,,,,
16,01/11/14 07:00:00 PM,6.128,64.856,,,,
17,01/11/14 07:30:00 PM,6.382,65.726,,,,
18,01/11/14 08:00:00 PM,6.179,66.539,,,,
19,01/11/14 08:30:00 PM,5.770,70.887,,,,
20,01/11/14 09:00:00 PM,5.872,72.291,,,,
21,01/11/14 09:30:00 PM,5.745,72.733,,,,
22,01/11/14 10:00:00 PM,5.128,73.870,,,,
23,01/11/14 10:30:00 PM,4.844,74.057,,,,
24,01/11/14 11:00:00 PM,4.532,74.184,,,,
25,01/11/14 11:30:00 PM,3.538,78.069,,,,
26,01/12/14 12:00:00 AM,3.248,79.254,,,,
27,01/12/14 12:30:00 AM,3.142,80.340,,,,
28,01/12/14 01:00:00 AM,2.930,79.924,,,,
29,01/12/14 01:30:00 AM,2.956,80.641,,,,
30,01/12/14 02:00:00 AM,2.903,81.285,,,,
31,01/12/14 02:30:00 AM,2.930,81.553,,,,
32,01/12/14 03:00:00 AM,2.770,80.940,,,,
33,01/12/14 03:30:00 AM,2.557,82.094,,,,
34,01/12/14 04:00:00 AM,2.262,82.494,,,,
35,01/12/14 04:30:00 AM,2.128,81.526,,,,
36,01/12/14 05:00:00 AM,2.289,81.144,,,,
37,01/12/14 05:30:00 AM,1.859,81.881,,,,
38,01/12/14 06:00:00 AM,1.398,84.254,,,,
39,01/12/14 06:30:00 AM,1.615,84.563,,,,
40,01/12/14 07:00:00 AM,1.480,84.453,,,,
41,01/12/14 07:30:00 AM,1.289,85.916,,,,
42,01/12/14 08:00:00 AM,1.480,83.502,,,,
43,01/12/14 08:30:00 AM,1.317,85.387,,,,
44,01/12/14 09:00:00 AM,1.751,84.955,,,,
45,01/12/14 09:30:00 AM,2.209,84.216,,,,
46,01/12/14 10:00:00 AM,2.557,83.238,,,,
47,01/12/14 10:30:00 AM,3.433,80.854,,,,
48,01/12/14 11:00:00 AM,4.480,76.503,,,,
49,01/12/14 11:30:00 AM,6.153,69.262,,,,
50,01/12/14 12:00:00 PM,6.914,69.267,,,,
51,01/12/14 12:30:00 PM,7.469,67.625,,,,
52,01/12/14 01:00:00 PM,8.369,61.418,,,,
53,01/12/14 01:30:00 PM,9.410,58.515,,,,
54,01/12/14 02:00:00 PM,10.492,55.206,,,,
55,01/12/14 02:30:00 PM,11.977,48.922,,,,
56,01/12/14 03:00:00 PM,12.678,46.603,,,,
57,01/12/14 03:30:00 PM,12.485,47.972,,,,
58,01/12/14 04:00:00 PM,12.340,48.816,,,,
59,01/12/14 04:30:00 PM,12.437,47.935,,,,
60,01/12/14 05:00:00 PM,11.053,54.720,,,,
61,01/12/14 05:30:00 PM,9.657,61.984,,,,
62,01/12/14 06:00:00 PM,8.693,65.285,,,,
63,01/12/14 06:30:00 PM,8.070,67.510,,,,
64,01/12/14 07:00:00 PM,7.419,70.708,,,,
65,01/12/14 07:30:00 PM,7.242,72.232,,,,
66,01/12/14 08:00:00 PM,6.914,73.934,,,,
67,01/12/14 08:30:00 PM,6.687,74.656,,,,
68,01/12/14 09:00:00 PM,6.813,75.202,,,,
69,01/12/14 09:30:00 PM,7.066,74.761,,,,
70,01/12/14 10:00:00 PM,6.661,76.968,,,,
71,01/12/14 10:30:00 PM,6.357,77.634,,,,
72,01/12/14 11:00:00 PM,5.693,79.771,,,,
73,01/12/14 11:30:00 PM,5.488,80.418,,,,
74,01/13/14 12:00:00 AM,5.179,83.016,,,,
75,01/13/14 12:30:00 AM,4.688,84.521,,,,
76,01/13/14 01:00:00 AM,4.506,83.800,,,,
77,01/13/14 01:30:00 AM,4.869,83.860,,,,
78,01/13/14 02:00:00 AM,4.818,85.797,,,,
79,01/13/14 02:30:00 AM,4.947,86.448,,,,
80,01/13/14 03:00:00 AM,5.024,85.484,,,,
81,01/13/14 03:30:00 AM,5.024,83.504,,,,
82,01/13/14 04:00:00 AM,5.024,84.809,,,,
83,01/13/14 04:30:00 AM,4.662,84.254,,,,
84,01/13/14 05:00:00 AM,4.610,84.710,,,,
85,01/13/14 05:30:00 AM,4.973,83.910,,,,
86,01/13/14 06:00:00 AM,4.610,83.538,,,,
87,01/13/14 06:30:00 AM,4.792,82.006,,,,
88,01/13/14 07:00:00 AM,5.154,80.396,,,,
89,01/13/14 07:30:00 AM,5.282,78.155,,,,
90,01/13/14 08:00:00 AM,4.376,80.672,,,,
91,01/13/14 08:30:00 AM,4.610,80.248,,,,
92,01/13/14 09:00:00 AM,4.350,80.639,,,,
93,01/13/14 09:30:00 AM,4.506,81.018,,,,
94,01/13/14 10:00:00 AM,4.869,83.075,,,,
95,01/13/14 10:30:00 AM,5.821,81.316,,,,
96,01/13/14 11:00:00 AM,6.611,79.466,,,,
97,01/13/14 11:30:00 AM,7.619,76.382,,,,
98,01/13/14 12:00:00 PM,8.444,74.963,,,,
99,01/13/14 12:30:00 PM,9.015,75.247,,,,
100,01/13/14 01:00:00 PM,10.296,71.239,,,,
101,01/13/14 01:30:00 PM,11.273,67.845,,,,
102,01/13/14 02:00:00 PM,12.654,62.491,,,,
103,01/13/14 02:30:00 PM,13.738,57.500,,,,
104,01/13/14 03:00:00 PM,14.146,55.664,,,,
105,01/13/14 03:30:00 PM,13.930,55.873,,,,
106,01/13/14 04:00:00 PM,14.170,55.425,,,,
107,01/13/14 04:30:00 PM,13.281,58.387,,,,
108,01/13/14 05:00:00 PM,12.001,62.263,,,,
109,01/13/14 05:30:00 PM,10.907,65.334,,,,
110,01/13/14 06:00:00 PM,9.410,70.336,,,,
111,01/13/14 06:30:00 PM,8.295,74.215,,,,
112,01/13/14 07:00:00 PM,8.145,74.544,,,,
113,01/13/14 07:30:00 PM,7.645,75.183,,,,
114,01/13/14 08:00:00 PM,7.217,78.306,,,,
115,01/13/14 08:30:00 PM,6.712,80.773,,,,
116,01/13/14 09:00:00 PM,6.255,82.025,,,,
117,01/13/14 09:30:00 PM,5.693,83.870,,,,
118,01/13/14 10:00:00 PM,5.437,84.907,,,,
119,01/13/14 10:30:00 PM,5.796,83.343,,,,
120,01/13/14 11:00:00 PM,5.719,84.007,,,,
121,01/13/14 11:30:00 PM,5.334,85.428,,,,
122,01/14/14 12:00:00 AM,5.231,85.326,,,,
123,01/14/14 12:30:00 AM,4.766,86.996,,,,
124,01/14/14 01:00:00 AM,4.714,86.983,,,,
125,01/14/14 01:30:00 AM,4.506,87.702,,,,
126,01/14/14 02:00:00 AM,4.428,88.525,,,,
127,01/14/14 02:30:00 AM,4.688,88.028,,,,
128,01/14/14 03:00:00 AM,4.636,85.261,,,,
129,01/14/14 03:30:00 AM,4.454,86.534,,,,
130,01/14/14 04:00:00 AM,3.617,87.915,,,,
131,01/14/14 04:30:00 AM,3.643,86.747,,,,
132,01/14/14 05:00:00 AM,3.880,84.381,,,,
133,01/14/14 05:30:00 AM,3.985,81.742,,,,
134,01/14/14 06:00:00 AM,4.037,79.164,,,,
135,01/14/14 06:30:00 AM,3.985,78.727,,,,
136,01/14/14 07:00:00 AM,4.141,79.957,,,,
137,01/14/14 07:30:00 AM,4.063,76.979,,,,
138,01/14/14 08:00:00 AM,4.011,75.945,,,,
139,01/14/14 08:30:00 AM,4.037,79.137,,,,
140,01/14/14 09:00:00 AM,4.766,80.230,,,,
141,01/14/14 09:30:00 AM,5.179,79.897,,,,
142,01/14/14 10:00:00 AM,4.921,80.980,,,,
143,01/14/14 10:30:00 AM,5.668,79.925,,,,
144,01/14/14 11:00:00 AM,6.914,74.812,,,,
145,01/14/14 11:30:00 AM,7.619,72.668,,,,
146,01/14/14 12:00:00 PM,8.145,75.863,,,,
147,01/14/14 12:30:00 PM,9.632,73.461,,,,
148,01/14/14 01:00:00 PM,10.712,70.416,,,,
149,01/14/14 01:30:00 PM,11.224,68.094,,,,
150,01/14/14 02:00:00 PM,12.292,60.427,,,,
151,01/14/14 02:30:00 PM,12.944,57.317,,,,
152,01/14/14 03:00:00 PM,13.594,54.188,,,,
153,01/14/14 03:30:00 PM,13.858,53.497,,,,
154,01/14/14 04:00:00 PM,13.882,54.868,,,,
155,01/14/14 04:30:00 PM,13.209,59.121,,,,
156,01/14/14 05:00:00 PM,12.001,62.644,,,,
157,01/14/14 05:30:00 PM,10.467,67.468,,,,
158,01/14/14 06:00:00 PM,9.213,66.952,,,,
159,01/14/14 06:30:00 PM,8.295,68.373,,,,
160,01/14/14 07:00:00 PM,8.170,68.463,,,,
161,01/14/14 07:30:00 PM,7.970,69.581,,,,
162,01/14/14 08:00:00 PM,7.770,69.936,,,,
163,01/14/14 08:30:00 PM,7.720,71.436,,,,
164,01/14/14 09:00:00 PM,7.569,72.602,,,,
165,01/14/14 09:30:00 PM,7.268,73.427,,,,
166,01/14/14 10:00:00 PM,7.293,75.329,,,,
167,01/14/14 10:30:00 PM,7.167,74.150,,,,
168,01/14/14 11:00:00 PM,7.242,74.303,,,,
169,01/14/14 11:30:00 PM,6.839,74.138,,,,
170,01/15/14 12:00:00 AM,6.585,76.028,,,,
171,01/15/14 12:30:00 AM,6.382,76.773,,,,
172,01/15/14 01:00:00 AM,6.382,76.067,,,,
173,01/15/14 01:30:00 AM,7.670,69.580,,,,
174,01/15/14 02:00:00 AM,6.990,68.523,,,,
175,01/15/14 02:30:00 AM,6.306,72.874,,,,
176,01/15/14 03:00:00 AM,6.509,70.698,,,,
177,01/15/14 03:30:00 AM,6.255,72.919,,,,
178,01/15/14 04:00:00 AM,6.990,67.254,,,,
179,01/15/14 04:30:00 AM,7.343,63.325,,,,
180,01/15/14 05:00:00 AM,6.864,63.614,,,,
181,01/15/14 05:30:00 AM,5.872,68.481,,,,
182,01/15/14 06:00:00 AM,5.847,67.127,,,,
183,01/15/14 06:30:00 AM,6.357,64.098,,,,
184,01/15/14 07:00:00 AM,6.611,62.910,,,,
185,01/15/14 07:30:00 AM,7.217,65.050,,,,
186,01/15/14 08:00:00 AM,6.000,67.578,,,,
187,01/15/14 08:30:00 AM,6.382,64.873,,,,
188,01/15/14 09:00:00 AM,6.864,64.645,,,,
189,01/15/14 09:30:00 AM,6.712,67.089,,,,
190,01/15/14 10:00:00 AM,7.393,64.281,,,,
191,01/15/14 10:30:00 AM,7.870,62.175,,,,
192,01/15/14 11:00:00 AM,9.139,58.354,,,,
193,01/15/14 11:30:00 AM,9.312,60.642,,,,
194,01/15/14 12:00:00 PM,9.485,61.897,,,,
195,01/15/14 12:30:00 PM,11.346,54.342,,,,
196,01/15/14 01:00:00 PM,12.316,51.175,,,,
197,01/15/14 01:30:00 PM,12.944,50.128,,,,
198,01/15/14 02:00:00 PM,14.409,46.916,,,,
199,01/15/14 02:30:00 PM,14.912,46.230,,,,
200,01/15/14 03:00:00 PM,14.984,52.221,,,,
201,01/15/14 03:30:00 PM,14.912,52.334,,,,
202,01/15/14 04:00:00 PM,14.481,54.136,,,,
203,01/15/14 04:30:00 PM,14.577,54.180,,,,
204,01/15/14 05:00:00 PM,13.016,54.739,,,,
205,01/15/14 05:30:00 PM,11.589,59.307,,,,
206,01/15/14 06:00:00 PM,10.516,53.557,,,,
207,01/15/14 06:30:00 PM,10.173,55.875,,,,
208,01/15/14 07:00:00 PM,10.394,58.198,,,,
209,01/15/14 07:30:00 PM,10.247,58.116,,,,
210,01/15/14 08:00:00 PM,10.271,58.001,,,,
211,01/15/14 08:30:00 PM,9.608,61.451,,,,
212,01/15/14 09:00:00 PM,9.386,63.795,,,,
213,01/15/14 09:30:00 PM,9.361,64.944,,,,
214,01/15/14 10:00:00 PM,9.188,66.891,,,,
215,01/15/14 10:30:00 PM,9.361,66.808,,,,
216,01/15/14 11:00:00 PM,8.990,67.425,,,,
217,01/15/14 11:30:00 PM,8.519,66.968,,,,
218,01/16/14 12:00:00 AM,7.870,70.516,,,,
219,01/16/14 12:30:00 AM,7.670,70.785,,,,
220,01/16/14 01:00:00 AM,7.770,65.663,,,,
221,01/16/14 01:30:00 AM,8.120,62.998,,,,
222,01/16/14 02:00:00 AM,7.945,62.159,,,,
223,01/16/14 02:30:00 AM,8.245,60.932,,,,
224,01/16/14 03:00:00 AM,8.170,60.483,,,,
225,01/16/14 03:30:00 AM,7.845,62.835,,,,
226,01/16/14 04:00:00 AM,7.569,64.082,,,,
227,01/16/14 04:30:00 AM,7.519,66.955,,,,
228,01/16/14 05:00:00 AM,7.419,68.519,,,,
229,01/16/14 05:30:00 AM,7.720,63.016,,,,
230,01/16/14 06:00:00 AM,7.167,64.841,,,,
231,01/16/14 06:30:00 AM,6.611,68.592,,,,
232,01/16/14 07:00:00 AM,6.128,68.023,,,,
233,01/16/14 07:30:00 AM,6.560,66.948,,,,
234,01/16/14 08:00:00 AM,6.484,65.432,,,,
235,01/16/14 08:30:00 AM,6.509,66.713,,,,
236,01/16/14 09:00:00 AM,6.864,66.664,,,,
237,01/16/14 09:30:00 AM,7.519,68.595,,,,
238,01/16/14 10:00:00 AM,8.020,71.607,,,,
239,01/16/14 10:30:00 AM,8.717,70.090,,,,
240,01/16/14 11:00:00 AM,10.492,68.130,,,,
241,01/16/14 11:30:00 AM,10.761,64.875,,,,
242,01/16/14 12:00:00 PM,11.807,61.379,,,,
243,01/16/14 12:30:00 PM,12.509,62.554,,,,
244,01/16/14 01:00:00 PM,12.871,62.851,,,,
245,01/16/14 01:30:00 PM,13.714,60.778,,,,
246,01/16/14 02:00:00 PM,14.385,59.219,,,,
247,01/16/14 02:30:00 PM,15.247,53.698,,,,
248,01/16/14 03:00:00 PM,15.652,44.183,,,,
249,01/16/14 03:30:00 PM,15.557,47.125,,,,
250,01/16/14 04:00:00 PM,15.438,46.421,,,,
251,01/16/14 04:30:00 PM,15.414,45.759,,,,
252,01/16/14 05:00:00 PM,13.738,52.260,,,,
253,01/16/14 05:30:00 PM,12.968,55.608,,,,
254,01/16/14 06:00:00 PM,11.419,58.806,,,,
255,01/16/14 06:30:00 PM,10.247,60.034,,,,
256,01/16/14 07:00:00 PM,10.001,62.188,,,,
257,01/16/14 07:30:00 PM,9.410,63.481,,,,
258,01/16/14 08:00:00 PM,8.866,67.487,,,,
259,01/16/14 08:30:00 PM,8.767,68.717,,,,
260,01/16/14 09:00:00 PM,8.568,70.988,,,,
261,01/16/14 09:30:00 PM,8.344,72.535,,,,
262,01/16/14 10:00:00 PM,7.945,75.520,,,,
263,01/16/14 10:30:00 PM,8.270,74.293,,,,
264,01/16/14 11:00:00 PM,8.045,74.027,,,,
265,01/16/14 11:30:00 PM,7.995,74.265,,,,
266,01/17/14 12:00:00 AM,8.543,71.095,,,,
267,01/17/14 12:30:00 AM,8.519,70.473,,,,
268,01/17/14 01:00:00 AM,8.270,69.469,,,,
269,01/17/14 01:30:00 AM,8.070,69.093,,,,
270,01/17/14 02:00:00 AM,8.965,65.363,,,,
271,01/17/14 02:30:00 AM,8.767,65.470,,,,
272,01/17/14 03:00:00 AM,8.369,66.342,,,,
273,01/17/14 03:30:00 AM,8.519,65.598,,,,
274,01/17/14 04:00:00 AM,8.394,65.117,,,,
275,01/17/14 04:30:00 AM,7.569,67.899,,,,
276,01/17/14 05:00:00 AM,8.070,67.737,,,,
277,01/17/14 05:30:00 AM,9.015,63.702,,,,
278,01/17/14 06:00:00 AM,7.167,68.641,,,,
279,01/17/14 06:30:00 AM,6.433,73.203,,,,
280,01/17/14 07:00:00 AM,7.015,70.769,,,,
281,01/17/14 07:30:00 AM,7.695,67.299,,,,
282,01/17/14 08:00:00 AM,7.695,67.044,,,,
283,01/17/14 08:30:00 AM,7.670,68.820,,,,
284,01/17/14 09:00:00 AM,7.569,70.765,,,,
285,01/17/14 09:30:00 AM,8.195,69.680,,,,
286,01/17/14 10:00:00 AM,9.657,69.394,,,,
287,01/17/14 10:30:00 AM,8.916,70.015,,,,
288,01/17/14 11:00:00 AM,8.469,69.423,,,,
289,01/17/14 11:30:00 AM,9.608,67.880,,,,
290,01/17/14 12:00:00 PM,11.662,58.874,,,,
291,01/17/14 12:30:00 PM,13.666,52.555,,,,
292,01/17/14 01:00:00 PM,12.871,58.650,,,,
293,01/17/14 01:30:00 PM,13.449,56.915,,,,
294,01/17/14 02:00:00 PM,13.882,50.686,,,,
295,01/17/14 02:30:00 PM,14.385,49.273,,,,
296,01/17/14 03:00:00 PM,14.840,48.962,,,,
297,01/17/14 03:30:00 PM,14.936,49.130,,,,
298,01/17/14 04:00:00 PM,14.409,51.127,,,,
299,01/17/14 04:30:00 PM,14.050,58.717,,,,
300,01/17/14 05:00:00 PM,12.968,65.874,,,,
301,01/17/14 05:30:00 PM,11.710,70.267,,,,
302,01/17/14 06:00:00 PM,10.418,74.621,,,,
303,01/17/14 06:30:00 PM,9.435,77.149,,,,
304,01/17/14 07:00:00 PM,9.583,78.955,,,,
305,01/17/14 07:30:00 PM,9.952,76.461,,,,
306,01/17/14 08:00:00 PM,9.928,74.688,,,,
307,01/17/14 08:30:00 PM,9.312,75.087,,,,
308,01/17/14 09:00:00 PM,8.220,78.306,,,,
309,01/17/14 09:30:00 PM,7.720,80.463,,,,
310,01/17/14 10:00:00 PM,7.594,79.952,,,,
311,01/17/14 10:30:00 PM,8.419,74.600,,,,
312,01/17/14 11:00:00 PM,8.419,74.241,,,,
313,01/17/14 11:30:00 PM,8.643,72.845,,,,
314,01/18/14 12:00:00 AM,8.170,74.797,,,,
315,01/18/14 12:30:00 AM,7.820,75.768,,,,
316,01/18/14 01:00:00 AM,7.015,77.857,,,,
317,01/18/14 01:30:00 AM,6.458,80.556,,,,
318,01/18/14 02:00:00 AM,6.153,79.150,,,,
319,01/18/14 02:30:00 AM,6.331,76.491,,,,
320,01/18/14 03:00:00 AM,6.179,77.109,,,,
321,01/18/14 03:30:00 AM,6.026,77.238,,,,
322,01/18/14 04:00:00 AM,5.668,78.642,,,,
323,01/18/14 04:30:00 AM,5.591,78.625,,,,
324,01/18/14 05:00:00 AM,5.796,78.267,,,,
325,01/18/14 05:30:00 AM,5.488,78.897,,,,
326,01/18/14 06:00:00 AM,5.076,80.856,,,,
327,01/18/14 06:30:00 AM,5.334,79.638,,,,
328,01/18/14 07:00:00 AM,4.506,81.915,,,,
329,01/18/14 07:30:00 AM,4.194,83.127,,,,
330,01/18/14 08:00:00 AM,4.610,82.123,,,,
331,01/18/14 08:30:00 AM,4.168,83.408,,,,
332,01/18/14 09:00:00 AM,5.231,77.499,,,,
333,01/18/14 09:30:00 AM,5.975,70.816,,,,
334,01/18/14 10:00:00 AM,5.949,72.940,,,,
335,01/18/14 10:30:00 AM,6.864,67.739,,,,
336,01/18/14 11:00:00 AM,8.841,53.822,,,,
337,01/18/14 11:30:00 AM,10.026,46.790,,,,
338,01/18/14 12:00:00 PM,10.736,41.749,,,,
339,01/18/14 12:30:00 PM,11.977,34.569,,,,
340,01/18/14 01:00:00 PM,12.098,33.710,,,,
341,01/18/14 01:30:00 PM,12.195,34.010,,,,
342,01/18/14 02:00:00 PM,12.703,31.398,,,,
