"Plot Title: PPW1350_10319261"
"#1 Day","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10319261, SEN S/N: 10319261)","RH, % (LGR S/N: 10319261, SEN S/N: 10319261)","Coupler Detached (LGR S/N: 10319261)","Coupler Attached (LGR S/N: 10319261)","Stopped (LGR S/N: 10319261)","End Of File (LGR S/N: 10319261)"
1,01/11/15 01:30:00 PM,14.026,77.900,Logged,,,
2,01/11/15 02:00:00 PM,14.577,75.189,,,,
3,01/11/15 02:30:00 PM,15.175,70.124,,,,
4,01/11/15 03:00:00 PM,16.106,65.817,,,,
5,01/11/15 03:30:00 PM,16.534,63.976,,,,
6,01/11/15 04:00:00 PM,16.749,62.796,,,,
7,01/11/15 04:30:00 PM,16.939,61.247,,,,
8,01/11/15 05:00:00 PM,16.582,65.372,,,,
9,01/11/15 05:30:00 PM,15.175,70.527,,,,
10,01/11/15 06:00:00 PM,14.577,69.436,,,,
11,01/11/15 06:30:00 PM,14.721,68.799,,,,
12,01/11/15 07:00:00 PM,13.570,75.853,,,,
13,01/11/15 07:30:00 PM,12.606,79.502,,,,
14,01/11/15 08:00:00 PM,12.316,81.133,,,,
15,01/11/15 08:30:00 PM,11.467,85.757,,,,
16,01/11/15 09:00:00 PM,11.127,87.529,,,,
17,01/11/15 09:30:00 PM,10.834,88.430,,,,
18,01/11/15 10:00:00 PM,10.907,88.683,,,,
19,01/11/15 10:30:00 PM,10.467,90.398,,,,
20,01/11/15 11:00:00 PM,9.805,92.060,,,,
21,01/11/15 11:30:00 PM,9.682,95.006,,,,
22,01/12/15 12:00:00 AM,10.394,90.535,,,,
23,01/12/15 12:30:00 AM,10.296,91.466,,,,
24,01/12/15 01:00:00 AM,9.805,93.517,,,,
25,01/12/15 01:30:00 AM,9.534,92.987,,,,
26,01/12/15 02:00:00 AM,8.965,94.765,,,,
27,01/12/15 02:30:00 AM,9.089,94.823,,,,
28,01/12/15 03:00:00 AM,9.460,91.741,,,,
29,01/12/15 03:30:00 AM,9.361,94.035,,,,
30,01/12/15 04:00:00 AM,9.361,91.536,,,,
31,01/12/15 04:30:00 AM,9.312,92.368,,,,
32,01/12/15 05:00:00 AM,8.270,94.731,,,,
33,01/12/15 05:30:00 AM,7.795,95.506,,,,
34,01/12/15 06:00:00 AM,8.045,94.143,,,,
35,01/12/15 06:30:00 AM,7.494,94.624,,,,
36,01/12/15 07:00:00 AM,7.268,93.358,,,,
37,01/12/15 07:30:00 AM,7.519,92.210,,,,
38,01/12/15 08:00:00 AM,6.763,93.427,,,,
39,01/12/15 08:30:00 AM,6.509,92.681,,,,
40,01/12/15 09:00:00 AM,6.560,93.725,,,,
41,01/12/15 09:30:00 AM,7.368,90.363,,,,
42,01/12/15 10:00:00 AM,8.668,83.773,,,,
43,01/12/15 10:30:00 AM,9.657,80.057,,,,
44,01/12/15 11:00:00 AM,10.198,76.347,,,,
45,01/12/15 11:30:00 AM,11.662,72.690,,,,
46,01/12/15 12:00:00 PM,13.209,64.402,,,,
47,01/12/15 12:30:00 PM,14.050,60.150,,,,
48,01/12/15 01:00:00 PM,15.485,50.535,,,,
49,01/12/15 01:30:00 PM,16.177,50.660,,,,
50,01/12/15 02:00:00 PM,16.368,47.729,,,,
51,01/12/15 02:30:00 PM,16.463,45.795,,,,
52,01/12/15 03:00:00 PM,16.844,46.755,,,,
53,01/12/15 03:30:00 PM,17.439,39.989,,,,
54,01/12/15 04:00:00 PM,17.439,43.189,,,,
55,01/12/15 04:30:00 PM,16.796,46.214,,,,
56,01/12/15 05:00:00 PM,16.368,46.789,,,,
57,01/12/15 05:30:00 PM,15.843,49.374,,,,
58,01/12/15 06:00:00 PM,14.385,52.688,,,,
59,01/12/15 06:30:00 PM,12.775,60.299,,,,
60,01/12/15 07:00:00 PM,12.098,63.830,,,,
61,01/12/15 07:30:00 PM,11.662,68.947,,,,
62,01/12/15 08:00:00 PM,10.712,71.433,,,,
63,01/12/15 08:30:00 PM,9.583,75.281,,,,
64,01/12/15 09:00:00 PM,8.717,77.924,,,,
65,01/12/15 09:30:00 PM,7.870,78.176,,,,
66,01/12/15 10:00:00 PM,7.217,81.286,,,,
67,01/12/15 10:30:00 PM,7.594,81.158,,,,
68,01/12/15 11:00:00 PM,7.192,84.353,,,,
69,01/12/15 11:30:00 PM,6.535,85.481,,,,
70,01/13/15 12:00:00 AM,5.668,86.545,,,,
71,01/13/15 12:30:00 AM,4.973,88.840,,,,
72,01/13/15 01:00:00 AM,5.437,92.677,,,,
73,01/13/15 01:30:00 AM,4.584,89.531,,,,
74,01/13/15 02:00:00 AM,4.011,91.653,,,,
75,01/13/15 02:30:00 AM,3.801,92.397,,,,
76,01/13/15 03:00:00 AM,3.591,93.038,,,,
77,01/13/15 03:30:00 AM,3.406,94.225,,,,
78,01/13/15 04:00:00 AM,3.564,94.465,,,,
79,01/13/15 04:30:00 AM,3.433,94.134,,,,
80,01/13/15 05:00:00 AM,3.195,95.200,,,,
81,01/13/15 05:30:00 AM,3.009,96.077,,,,
82,01/13/15 06:00:00 AM,2.823,96.075,,,,
83,01/13/15 06:30:00 AM,2.930,96.542,,,,
84,01/13/15 07:00:00 AM,2.930,95.860,,,,
85,01/13/15 07:30:00 AM,3.274,93.251,,,,
86,01/13/15 08:00:00 AM,3.089,98.375,,,,
87,01/13/15 08:30:00 AM,2.877,97.447,,,,
88,01/13/15 09:00:00 AM,2.343,96.839,,,,
