"Plot","Quad","Bedrock","Soil","Boulder","Fine","Herb","Litter","Total","Year"
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1301","-999",-999,-999,-999,-999,-999,-999,-999,2013
"PPW1302","A1",0,0,15,0,30,75,120,2013
"PPW1302","A2",0,0,5,1,40,70,116,2013
"PPW1302","A3",0,0,10,1,70,40,121,2013
"PPW1302","A4",0,1,1,0,30,80,112,2013
"PPW1302","B4",0,1,5,0,55,40,101,2013
"PPW1302","B3",0,1,0,0,80,20,101,2013
"PPW1302","B2",0,5,5,0,70,45,125,2013
"PPW1302","B1",0,0,15,1,50,60,126,2013
"PPW1302","C4",0,0,1,0,90,25,116,2013
"PPW1302","C3",0,0,0,0,90,25,115,2013
"PPW1302","C2",0,0,0,0,85,35,120,2013
"PPW1302","C1",0,1,15,0,30,75,121,2013
"PPW1302","D4",0,0,1,0,95,30,126,2013
"PPW1302","D3",0,0,1,0,90,10,101,2013
"PPW1302","D2",0,0,0,1,85,20,106,2013
"PPW1302","D1",0,0,5,5,55,45,110,2013
"PPW1303","A1",0,0,0,0,95,10,105,2013
"PPW1303","A2",0,0,0,0,90,20,110,2013
"PPW1303","A3",0,1,0,0,45,65,110,2013
"PPW1303","A4",0,5,0,0,65,45,100,2013
"PPW1303","B1",0,0,0,0,90,15,105,2013
"PPW1303","B2",0,0,0,0,95,10,105,2013
"PPW1303","B3",0,0,0,0,90,15,105,2013
"PPW1303","B4",0,0,0,0,95,10,105,2013
"PPW1303","C1",0,0,0,0,100,5,105,2013
"PPW1303","C2",0,0,0,0,95,10,105,2013
"PPW1303","C3",0,1,0,1,95,10,107,2013
"PPW1303","C4",0,0,5,0,95,10,110,2013
"PPW1303","D1",0,0,0,1,100,10,110,2013
"PPW1303","D2",0,0,0,0,100,5,105,2013
"PPW1303","D3",0,0,0,1,95,10,106,2013
"PPW1303","D4",0,1,0,5,65,35,106,2013
"PPW1304","A1",0,0,5,10,60,25,100,2013
"PPW1304","A2",0,0,5,10,45,45,105,2013
"PPW1304","A3",0,0,30,10,45,15,100,2013
"PPW1304","A4",0,0,45,10,35,10,100,2013
"PPW1304","B4",0,0,30,25,20,35,110,2013
"PPW1304","B3",0,0,25,20,45,20,110,2013
"PPW1304","B2",0,0,15,15,55,15,100,2013
"PPW1304","B1",0,0,15,5,55,30,105,2013
"PPW1304","C1",0,0,25,30,30,25,110,2013
"PPW1304","C2",0,0,15,5,55,30,105,2013
"PPW1304","C3",0,5,10,10,30,45,100,2013
"PPW1304","C4",0,0,15,15,15,55,100,2013
"PPW1304","D4",0,0,15,15,35,35,100,2013
"PPW1304","D3",0,0,45,10,20,35,110,2013
"PPW1304","D2",0,0,15,10,40,35,100,2013
"PPW1304","D1",0,0,65,5,20,10,100,2013
"PPW1305","A1",0,5,65,15,1,35,121,2013
"PPW1305","A2",0,5,40,20,5,45,115,2013
"PPW1305","A3",0,1,60,10,20,35,126,2013
"PPW1305","A4",0,0,65,15,25,30,125,2013
"PPW1305","B4",0,0,20,5,15,65,105,2013
"PPW1305","B3",0,0,35,10,20,35,100,2013
"PPW1305","B2",0,1,65,10,10,35,121,2013
"PPW1305","B1",0,5,45,5,20,30,105,2013
"PPW1305","C1",0,5,40,5,30,45,125,2013
"PPW1305","C2",0,5,25,1,15,65,111,2013
"PPW1305","C3",0,1,20,5,25,50,101,2013
"PPW1305","C4",0,0,35,10,30,25,100,2013
"PPW1305","D4",0,0,1,10,20,70,101,2013
"PPW1305","D3",0,0,40,5,20,50,115,2013
"PPW1305","D2",0,0,35,5,35,25,100,2013
"PPW1305","D1",0,0,30,5,35,30,100,2013
"PPW1306","A1",0,0,0,0,1,99,100,2013
"PPW1306","A2",0,10,1,0,1,80,92,2013
"PPW1306","A3",0,0,0,0,1,99,100,2013
"PPW1306","A4",0,0,0,0,5,95,100,2013
"PPW1306","B1",0,1,0,0,0,99,100,2013
"PPW1306","B2",0,5,0,0,0,95,100,2013
"PPW1306","B3",0,1,0,0,1,99,101,2013
"PPW1306","B4",0,1,0,0,5,95,101,2013
"PPW1306","C1",0,0,0,0,0,100,100,2013
"PPW1306","C2",0,0,0,0,0,100,100,2013
"PPW1306","C3",0,0,0,0,5,95,100,2013
"PPW1306","C4",0,0,0,0,1,99,100,2013
"PPW1306","D1",0,0,0,0,1,99,100,2013
"PPW1306","D2",0,0,0,0,1,99,100,2013
"PPW1306","D3",0,1,0,0,1,99,101,2013
"PPW1306","D4",0,1,0,0,1,99,101,2013
"PPW1307","A1",0,5,0,0,10,80,95,2013
"PPW1307","A2",0,5,0,0,5,85,95,2013
"PPW1307","A3",0,1,0,0,15,80,96,2013
"PPW1307","A4",0,1,0,0,45,55,101,2013
"PPW1307","B1",0,1,0,0,1,95,97,2013
"PPW1307","B2",0,1,0,0,5,95,101,2013
"PPW1307","B3",0,0,0,0,25,65,90,2013
"PPW1307","B4",0,1,0,0,60,40,101,2013
"PPW1307","C1",0,1,0,0,10,90,101,2013
"PPW1307","C2",0,5,0,0,25,70,100,2013
"PPW1307","C3",0,0,0,0,35,65,100,2013
"PPW1307","C4",0,1,0,0,45,55,101,2013
"PPW1307","D1",0,3,0,0,20,80,103,2013
"PPW1307","D2",0,10,0,0,5,75,90,2013
"PPW1307","D3",0,10,0,0,25,55,90,2013
"PPW1307","D4",0,0,0,0,35,65,100,2013
"PPW1308","A1",0,1,1,0,45,55,102,2013
"PPW1308","A2",0,0,0,0,40,60,100,2013
"PPW1308","A3",0,0,0,0,45,55,100,2013
"PPW1308","A4",0,0,0,0,45,55,100,2013
"PPW1308","B1",0,0,5,0,45,50,100,2013
"PPW1308","B2",0,0,0,0,55,45,100,2013
"PPW1308","B3",0,0,0,0,50,50,100,2013
"PPW1308","B4",0,0,0,0,45,45,90,2013
"PPW1308","C1",0,1,0,0,50,50,101,2013
