"Plot","Quad","Type","Num","Species","SA.Stump.Height_cm","SA.Stump.BD_cm","SA.Branch.Num","DBH_cm","X_cm","Y_cm","Notes","Year","Basal.Area"
"PPW1301","A2","TR",1001,"QUEGAR",NA,NA,NA,22.5,140,70,NA,2014,397.607820219958
"PPW1301","A2","TR",1002,"QUEGAR",NA,NA,NA,22.3,295,60,NA,2014,390.570652675917
"PPW1301","A2","TR",1003,"QUEGAR",NA,NA,NA,22.3,80,290,NA,2014,390.570652675917
"PPW1301","A4","TR",1004,"QUEGAR",NA,NA,NA,27.1,325,20,NA,2014,576.80426518072
"PPW1301","A4","TR",1005,"QUEGAR",NA,NA,NA,32.3,465,235,NA,2014,819.398049890924
"PPW1301","A4","TR",1006,"QUEGAR",NA,NA,NA,30.6,175,480,NA,2014,735.415424278835
"PPW1301","B4","TR",1011,"QUEGAR",NA,NA,NA,22.65,330,495,NA,2014,402.926929281567
"PPW1301","B4","TR",1010,"QUEGAR",NA,NA,NA,25.8,490,405,NA,2014,522.792433483878
"PPW1301","B4","TR",1009,"QUEGAR",NA,NA,NA,13,40,175,NA,2014,132.732289614169
"PPW1301","B3","TR",1008,"QUEGAR",NA,NA,NA,32.25,100,40,NA,2014,816.863177318559
"PPW1301","B1","TR",1007,"QUEGAR",NA,NA,NA,28.25,175,440,NA,2014,626.796821776376
"PPW1301","C1","TR",1014,"QUEGAR",NA,NA,NA,21.8,0,315,NA,2014,373.252623173003
"PPW1301","C1","TR",1014.1,"QUEGAR",NA,NA,NA,15.75,0,315,NA,2014,194.82783190778
"PPW1301","C1","TR",1012,"QUEGAR",NA,NA,NA,15.3,125,120,NA,2014,183.853856069709
"PPW1301","C1","TR",1012.1,"QUEGAR",NA,NA,NA,17.3,125,120,NA,2014,235.061816323222
"PPW1301","C2","TR",1015,"QUEGAR",NA,NA,NA,30.5,265,91,NA,2014,730.616641500476
"PPW1301","C2","TR",1017,"QUEGAR",NA,NA,NA,19.5,18,280,NA,2014,298.64765163188
"PPW1301","C2","TR",1018,"QUEGAR",NA,NA,NA,24,250,485,NA,2014,452.38934211693
"PPW1301","C3","TR",1020,"QUEGAR",NA,NA,NA,35,470,80,NA,2014,962.112750161874
"PPW1301","D4","TR",1021,"QUEGAR",NA,NA,NA,34.2,130,330,NA,2014,918.633107836191
"PPW1301","D2","TR",1022,"QUEGAR",NA,NA,NA,29,25,420,NA,2014,660.519855417254
"PPW1302","A1","SA",1024,"UMBCAL",64,1.3,1,NA,22,75,NA,2014,1.32732289614169
"PPW1302","A1","SA",1027,"UMBCAL",128,2.89,1,NA,314,220,NA,2014,6.55972400051183
"PPW1302","A1","SA",1028,"UMBCAL",108,2.68,1,NA,250,370,NA,2014,5.64104376878583
"PPW1302","A2","TR",1029,"QUEAGR",NA,NA,1,64.5,230,0,NA,2014,3267.45270927423
"PPW1302","A2","TR",1029.1,"QUEAGR",NA,NA,1,49.35,230,0,"NW",2014,1912.77635859682
