"Plot","UTM.E","UTM.N","Slope","Aspect"
"PPW1301","526265","4270350","26",0.966847813605277
"PPW1302","525447","4269576",NA,NA
"PPW1303","526143","4269065","20",-0.70862667826446
"PPW1304","525944","4269218","25",-0.949717842791432
"PPW1305","526058","4269630","34",0.886070621534138
"PPW1306","526022","4270886","15",0.941317317512847
"PPW1307","525888","4270668","28.5",0.702527474169157
"PPW1308","522747","4273140","14",0.978740079966915
"PPW1309","522830","4273334","10.5",-0.632103411187349
"PPW1310","522783","4273545","25",0.97110005188295
"PPW1311","522461","4273394","33",-0.217723230396532
"PPW1312","522503","4272837","21",0.803927961832821
"PPW1313","522844","4272670","34",0.814046093508218
"PPW1314","523238","4272549","23",-0.577291616551728
"PPW1315","524734","4271564","15",0.886070621534138
"PPW1316","524769","4271725","34",-0.993746580436178
"PPW1317","524778","4271596","25",-0.75549331407268
"PPW1318","524608","4271846","26",-0.92592477719385
"PPW1319","524509","4271779","21",0.982125605868
"PPW1320","524372","4269329","23.5",-0.605056069648849
"PPW1321","524739","4269591","28.5",-0.75549331407268
"PPW1322","525084","4269552","8",-0.444378178104613
"PPW1323","523282","4272416","11.5",-0.25119006388482
"PPW1324","523801","4272002","14.5",0.915864288267287
"PPW1325","526466","4270806","15",0.823923005757554
"PPW1326","525165","4271385","25.5",0.803927961832821
"PPW1327","522912","4268880","17.5",-0.998185534471859
"PPW1328","524420","4269661","14",-0.856550995901004
"PPW1329","524086","4271800",NA,NA
"PPW1330","523769","4271472","24",0.714673386042961
"PPW1331","523503","4271813","24",0.893918596519257
"PPW1332","524968","4271278","24",0.83355577183857
"PPW1333","525153","4271310","26",-0.81901488666808
"PPW1334","524885","4271274","29",0.860961015888994
"PPW1335","525087","4271051","16",0.83355577183857
"PPW1336","525463","4271059","24",-0.577291616551728
"PPW1337","526102","4271193","6.5",0.0215160974362223
"PPW1338","524949","4269709","13",-0.809016994374947
"PPW1339","524901","4269863","28",-0.459732739452105
"PPW1340","527205","4269284","9.5",-0.92592477719385
"PPW1341","527127","4269502","14",-0.92592477719385
"PPW1342","527278","4269582","7",0.436651231956064
"PPW1343","522956","4273410","26.5",0.975064532257195
"PPW1344","522872","4272878","24",-0.890027576434677
"PPW1345","523405","4272225","24",0.226115685508288
"PPW1346","524575","4270822","24",0.664855397964286
"PPW1347","523087","4268719","25",0.996298174934608
"PPW1348","523389","4269026","24",0.793571608952147
"PPW1349","526499","4270456","11",0.611886401268725
"PPW1350","523424","4269090","26.5",0.690173388242971
