,Genus_species,Common_name,OrigSpecies,Species,Shrub.Tree,Dec.Ever,Resprout,Con.Ang,SGroup,FuncGroup,Common
1,Adenostoma fasciculatum,Chamise,ADEFAS,ADEFAS,S,E,Y,A,Other,R.Shrub,No
2,Aesculus californica,Buckeye,AESCAL,AESCAL,T,D,Y,A,Other,R.Shrub,No
3,Amorpha californica,California False Indigo,AMOCAL,AMOCAL,S,D,Y,A,Other,R.Shrub,Yes
4,Arbutus menziesii,Madrone,ARBMEN,ARBMEN,T,E,Y,A,EHRO,EHRO,Yes
5,Arctostaphylos manzanita,Common Manzanita,ARCMAN,ARCMAN,S,E,N,A,Other,NS.Shrub,Yes
6,Baccharis pilularis,Coyote Brush,BACPIL,BACPIL,S,E,Y,A,Other,R.Shrub,No
8,Ceanother parryi,Parry's Ceanothus,CEAPAR,CEAPAR,S,E,Y,A,Other,R.Shrub,No
7,Ceanothus cuneatus,Buckbrush,CEACUN,CEACUN,S,E,N,A,Other,NS.Shrub,No
9,Cercocarpus betuloides,Mountain Mahogany,CERBET,CERBET,S,E,Y,A,Other,R.Shrub,No
10,Corylus cornuta,Beaked Hazelnut,CORCOR,CORCOR,S,D,Y,A,Other,R.Shrub,No
11,Frangula californica,Coffeeberry,FRACAL,FRACAL,S,E,Y,A,Other,R.Shrub,Yes
12,Heteromeles arbutifolia,Toyon,HETARB,HETARB,S,E,Y,A,Other,R.Shrub,Yes
13,Holodiscus discolor,Ocean Spray,HOLDIS,HOLDIS,S,D,Y,A,Other,R.Shrub,No
14,Notholithocarpus densiflorus,Tanoak,NOTDEN,NOTDEN,T,E,Y,A,EHRO,EHRO,No
15,Prunus cerasifera,Cherry Plum,PRUCER,PRUCER,T,D,Y,A,Other,R.Shrub,No
16,Pseudotsuga menziesii,Douglas-Fir,PSEMEN,PSEMEN,T,E,N,C,CON,NS.Con,Yes
17,Quercus agrifolia,Coast Live Oak,QUEAGR,QUEAGR,T,E,Y,A,EHRO,EHRO,Yes
18,Quercus berberidifolia,Scrub Oak,QUEBER,QUEBER,S,E,Y,A,WHTO,R.Shrub,No
20,Quercus douglassii,Blue Oak,QUEDOU,QUEDOU,T,D,Y,A,WHTO,WHTO,Yes
21,Quercus garryana,Oregon White Oak,QUEGAR,QUEGAR,T,D,Y,A,WHTO,WHTO,Yes
22,Quercus kelloggii,California Black Oak,QUEKEL,QUEKEL,T,D,Y,A,EHRO,EHRO,Yes
23,Quercus lobata,Valley Oak,QUELOB,QUELOB,T,D,Y,A,WHTO,WHTO,No
24,Quercus wislizeni,Interior Live Oak,QUEWIS,QUEWIS,T,E,Y,A,EHRO,EHRO,No
25,Rhamnus crocea,Spriny Reberry,RHACRO,RHACRO,S,E,Y,A,Other,R.Shrub,No
26,Salix sp.,Willow,SAL_SP,SAL.SP,T,D,Y,A,Other,R.Shrub,No
27,Sambucus nigra,Black Elderberry,SAMNIG,SAMNIG,S,D,Y,A,Other,R.Shrub,No
28,Torreya californica,California Torreya,TORCAL,TORCAL,S,E,Y,C,CON,R.Shrub,No
29,Umbellularia californica,California Bay,UMBCAL,UMBCAL,T,E,Y,A,EHRO,EHRO,Yes
